Name;Symbol;Units;Eucalyptus globulus;Abies alba;Alnus glutinosa;Betula pendula;Carpinus betulus;Castanea sativa;Fagus sylvatica;Fagus sylvatica2;Fraxinus excelsior;Larix decidua;Acer pseudoplatanus;Pinus pinaster;Quercus pubescence;Picea abies;Picea sitchensis;Pinus sylvestris;Pinus sylvestris2;Populus tremula;Pseudotsuga menzisii;Quercus petraea;Quercus ilex;Robinia pseudoacacia;Quercus robur;Abies borisii-regis;Fagus moesiaca;Pinus brutia;Pinus cembra;Pinus contorta;Pinus halepensis;Pinus mugo;Pinus nigra;Pinus pinea;Quercus cerris;Quercus frainetto
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pFS2;p2;-;1;0,5951;0,71;0,13;0,033;0,04;0,033;0,7;0,033;0,87;0,13;0,7;0,046;0,8;0,475;0,75;0,7;0,71;0,19;0,046;0,9;0,71;0,046;0,5951;0,033;0,475;0,8;0,8;0,8;0,8;0,8;0,8;0,046;0,046
pFS20;p20;-;0,15;0,1165;0,12;0,023;0,052;0,01;0,052;0,06;0,052;0,017;0,023;0,3;0,0277;0,7;0,063;0,4;0,21;0,12;0,19;0,0277;0,37;0,12;0,0277;0,1165;0,052;0,063;0,7;0,7;0,7;0,7;0,7;0,7;0,0277;0,0277
aWS;aS;-;0,095;0,082;0,183;0,11;0,183;0,183;0,322;0,183388481;0,074;0,187;0,1;0,128;0,094;0,133;0,042;0,13;0,13;0,081;0,082;0,094;0,237;0,183;0,094;0,082;0,322;0,042;0,133;0,133;0,133;0,133;0,133;0,133;0,094;0,094
nWS;nS;-;2,4;2,459;2,39;2,377;2,39;2,39;2,2;2,3895;2,618;2,251;2,419;2,305;2,507;2,305;2,428;2,27;2,27;2,46;2,523;2,507;1,835;2,39;2,507;2,459;2,2;2,428;2,305;2,305;2,305;2,305;2,305;2,305;2,507;2,507
pRx;?Rx;-;0,8;0,37;0,7;0,7;0,331;0,36;0,331;0,7;0,331;0,7;0,331;0,7;0,28;0,45;1,096;0,48;0,7;0,7;0,226;0,28;0,84;0,7;0,28;0,37;0,331;1,096;0,45;0,45;0,45;0,45;0,45;0,45;0,28;0,28
pRn;?Rn;-;0,25;0,09;0,17;0,17;0,048;0,07;0,048;0,3;0,048;0,3;0,048;0,25;0,08;0,3;0,261;0,21;0,3;0,17;0,1;0,08;0,37;0,17;0,08;0,09;0,048;0,261;0,3;0,3;0,3;0,3;0,3;0,3;0,08;0,08
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gammaF1;?Fx;1/month;0,027;0,0041;0;0;0;0;0;0,02;0;0;0;0,02;0;0,02;0,002;0,015;0,015;0,027;0,0139;0;0,005;0;0;0,0041;0;0,002;0,02;0,02;0,02;0,02;0,02;0,02;0;0
gammaF0;?F0;1/month;0,001;0,001;0;0;0;0;0;0,001;0;0;0;0,02;0;0,001;0,014;0,001;0,001;0,0015;0,001;0;0,001;0;0;0,001;0;0,014;0,001;0,001;0,001;0,001;0,001;0,001;0;0
tgammaF;t?F;months;12;60;0;0;0;0;0;60;0;0;0;60;0;60;60;60;60;18;60;0;240;0;0;60;0;60;60;60;60;60;60;60;0;0
gammaR;?R;1/month;0,015;0;0;0;0;0;0;0,015;0,0006;0;0,0035;0,001;0,0003;0,009;0,001;0,004;0,004;0,02;0,0001;0,0003;0,007;0,015;0,0003;0;0;0,001;0,009;0,009;0,009;0,009;0,009;0,009;0,0003;0,0003
leafgrow;leafP;month;0;0;5;5;5;5;5;5;5;5;5;0;5;0;0;0;0;5;0;5;0;5;5;0;5;0;0;0;0;0;0;0;5;5
leaffall;leafL;month;0;0;11;11;11;11;11;11;11;11;11;0;11;0;0;0;0;11;0;11;0;11;11;0;11;0;0;0;0;0;0;0;11;11
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tmin;Tmin;deg. C;8,5;-4;5;0;-6,834;6;-6,834;-5;6;-3;-3;0;0;-4;-4;-3,5;-3,5;5;-4;0;8,5;5;0;-4;-6,834;-4;-4;-4;-4;-4;-4;-4;0;0
Topt;Topt;deg. C;16;17,5;20;18;14,64;16;14,64;20;16;18;18;22;17,66;17,5;24,98;15;15;20;17,5;17,66;20;20;17,66;17,5;14,64;24,98;17,5;17,5;17,5;17,5;17,5;17,5;17,66;17,66
Tmax;Tmax;deg. C;40;35;40;38;33,96;30;33,96;25;30;33,7;35;45;35;35;29,003;30;30;40;35;35;33,5;40;35;35;33,96;29,003;35;35;35;35;35;35;35;35
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kF;kF;days;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SWconst;c?;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
