Name;Symbol;Units;Eucalyptus globulus;Abies alba;Alnus glutinosa;Betula pendula;Carpinus betulus;Castanea sativa;Fagus sylvatica;Fagus sylvatica2;Fraxinus excelsior;Larix decidua;Acer pseudoplatanus;Pinus pinaster;Quercus pubescence;Picea abies;Picea sitchensis;Pinus sylvestris;Pinus sylvestris2;Populus tremula;Pseudotsuga menzisii;Quercus petraea;Quercus ilex;Robinia pseudoacacia;Quercus robur;Abies borisii-regis;Fagus moesiaca;Pinus brutia;Pinus cembra;Pinus contorta;Pinus halepensis;Pinus mugo;Pinus nigra;Pinus pinea;Quercus cerris;Quercus frainetto
SWpower;n?;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fCalpha700;fC?700;-;1,4;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2
fCg700;fCg700;-;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m0;m0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fN0;fN0;-;1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
fNn;nfN;-;0;1;1;1;1;1;1,27;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1,27;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxAge;tx;years;50;550;140;149;350;400;265,6;300;400;400;493;150;500;300;251,772;500;500;100;500;500;300;200;500;550;265,6;251,772;300;300;300;300;300;300;500;500
nAge;nage;-;4;4;4;4;4;4;3,545;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3,545;4;4;4;4;4;4;4;4;4
rAge;rage;-;0,95;0,95;0,95;0,95;0,95;0,95;0,796;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,796;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95;0,95
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gammaN1;?Nx;%/year;0;3;0;1;1;1;1;0;1;5;1;5;4;6;0;5;5;0;2;4;0;0;4;3;1;0;6;6;6;6;6;6;4;4
gammaN0;?N0;%/year;0;3;0;1;1;1;1;0;1;5;1;5;4;6;0;5;5;0;2;4;0;0;4;3;1;0;6;6;6;6;6;6;4;4
tgammaN;t?N;years;0;0;0;0;0;0;51,23;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;51,23;0;0;0;0;0;0;0;0;0
ngammaN;n?N;-;1;1;1;1;1;1;0,644;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,644;1;1;1;1;1;1;1;1;1
wSx1000;wSx1000;kg/tree;300;400;350;350;400;400;394,2;400;400;400;400;200;500;400;378,3186;400;400;350;500;500;350;;500;400;394,2;378,3186;400;400;400;400;400;400;500;500
thinPower;nm;-;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,7732;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,7732;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5
mF;mF;-;0;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,488;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,488;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4
mR;mR;-;0,2;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,436;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,436;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4
mS;mS;-;0,2;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,437;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,437;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLA0;?0;m2/kg;11;12,32;24,72;13,05;24,72;28;22,88;24,71899941;30,3;13,83;23,94;9,56;18,49;5;8,71;4,29;4,29;19;6,56;18,49;5,03;11;18,49;12,32;22,88;8,71;5;5;5;5;5;5;18,49;18,49
SLA1;?1;m2/kg;4;5,85;19,4;13,05;19,4;20;20,1;19,4020502;12,6;11,72;14,93;5;14,62;3,85;3,85;4,29;4,29;10,8;5;14,62;3,86;4;14,62;5,85;20,1;3,85;3,85;3,85;3,85;3,85;3,85;3,85;14,62;14,62
tSLA;t?;years;2,5;18,1;35;1;35;60;16,33;35;13,6;14,5;47;20;7,35;25,1;25,1;1;1;5;44,7;7,35;2,5;2,5;7,35;18,1;16,33;25,1;25,1;25,1;25,1;25,1;25,1;25,1;7,35;7,35
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
k;k or kH;-;0,5;0,54;0,5;0,58;0,504;0,54;0,504;0,417818256;0,51;0,51;0,42;0,467;0,54;0,54;0,269;0,53;0,38;0,5;0,54;0,54;0,3;0,5;0,54;0,54;0,504;0,269;0,54;0,54;0,54;0,54;0,54;0,54;0,54;0,54
fullCanAge;tc;years;3;10;3;3;20;20;22,32;10;20;10;20;10;20;10;3;10;10;1,5;10;20;25;1,5;20;10;22,32;3;10;10;10;10;10;10;20;20
MaxIntcptn;IRx;-;0,15;0,3;0,25;0,25;0,3;0,3;0,382;0,237333333;0,3;0,3;0,25;0,3;0,25;0,3;0,265;0,39;0,39;0,24;0,3;0,25;0,15;0,25;0,25;0,3;0,382;0,265;0,3;0,3;0,3;0,3;0,3;0,3;0,25;0,25
LAImaxIntcptn;LIx;-;0;3;3;3;3;3;6,302;3;3;3;3;3;3;3;3;3;3;7,3;3;3;2;;3;3;6,302;3;3;3;3;3;3;3;3;3
cVPD;L50D;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alphaCx;?Cx;molC/molPAR;0,06;0,05;0,06;0,03;0,047;0,056;0,047;0,049810073;0,047;0,04;0,047;0,048;0,045;0,054;0,031;0,049;0,049;0,08;0,065;0,045;0,05;0,08;0,045;0,05;0,047;0,031;0,054;0,054;0,054;0,054;0,054;0,054;0,045;0,045
Y;Y;-;0,47;0,47;0,47;0,47;0,47;0,47;0,473;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,473;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pssN1;pssN1;-;0,127719183;0,127719183;0,127719183;0,127719183;0,127719183;0,127719183;0,127719183;0,127719183;0,127719183;0,092884166;0,127719183;0,092884166;0,127719183;0,127719183;0,127719183;0,092884166;0,092884166;0,127719183;0,127719183;0,092884166;0,092884166;0,092884166;0,092884166;0,127719183;0,127719183;0,127719183;0,127719183;0,127719183;0,127719183;0,127719183;0,127719183;0,127719183;0,092884166;0,092884166
pssN0;pssN0;-;1,093925925;1,093925925;1,093925925;1,093925925;1,093925925;1,093925925;1,093925925;1,093925925;1,093925925;1,188430184;1,093925925;1,188430184;1,093925925;1,093925925;1,093925925;1,188430184;1,188430184;1,093925925;1,093925925;1,188430184;1,188430184;1,188430184;1,188430184;1,093925925;1,093925925;1,093925925;1,093925925;1,093925925;1,093925925;1,093925925;1,093925925;1,093925925;1,188430184;1,188430184
tpssN;tpssN;-;27,28655747;27,28655747;27,28655747;27,28655747;27,28655747;27,28655747;27,28655747;27,28655747;27,28655747;14,10281409;27,28655747;14,10281409;27,28655747;27,28655747;27,28655747;14,10281409;14,10281409;27,28655747;27,28655747;14,10281409;14,10281409;14,10281409;14,10281409;27,28655747;27,28655747;27,28655747;27,28655747;27,28655747;27,28655747;27,28655747;27,28655747;27,28655747;14,10281409;14,10281409
npssN;npssN;-;0,831951214;0,831951214;0,831951214;0,831951214;0,831951214;0,831951214;0,831951214;0,831951214;0,831951214;0,739357457;0,831951214;0,739357457;0,831951214;0,831951214;0,831951214;0,739357457;0,739357457;0,831951214;0,831951214;0,739357457;0,739357457;0,739357457;0,739357457;0,831951214;0,831951214;0,831951214;0,831951214;0,831951214;0,831951214;0,831951214;0,831951214;0,831951214;0,739357457;0,739357457
fr_ratio;fr_ratio;-;1;0,5;1;1;1;1;1;1;1;0,5;1;0,5;1;0,1;0,1;0,5;0,5;1;0,5;1;1;1;1;0,5;1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MinCond;gCmin;m/s;0;0,00006;0,00006;0,00006;0,00006;0,00006;0,015;0;0,00006;0,00006;0,00006;0,000075;0,00006;0,00006;0,00006;0;0;0,0001;0,00006;0,00006;0,00006;0,00006;0,00006;0,00006;0,015;0,00006;0,00006;0,00006;0,00006;0,00006;0,00006;0,00006;0,00006;0,00006
MaxCond;gCmax;m/s;0,02;0,02;0,02;0,02;0,02;0,024;0,028;0,02;0,02;0,02;0,02;0,006;0,002;0,02;0,026;0,02;0,02;0,033;0,0015;0,002;0,02;0,02;0,002;0,02;0,028;0,026;0,02;0,02;0,02;0,02;0,02;0,02;0,002;0,002
LAIgcx;LgCmax;-;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33;3,33
CoeffCond;kD;1/mBar;0,05;0,05;0,05;0,05;0,05;0,05;0,007;0,057;0,05;0,05;0,05;0,05;0,05;0,06;0,077;0,05;0,05;0,05;0,06;0,05;0,05;0,05;0,05;0,05;0,007;0,077;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,05
BLcond;gB;m/s;0,2;0,2;0,2;0,2;0,2;0,01;0,013;0,2;0,2;0,2;0,2;0,01;0,005;0,2;0,2;0,2;0,2;0,04;0,009;0,005;0,2;0,2;0,005;0,2;0,013;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,005;0,005
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGcGw;-;-;0,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D13CTissueDif;?sp;per mil;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aFracDiffu;a;per mil;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bFracRubi;b;per mil;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fracBB0;pBB0;-;0,75;0,3;0,2;0,2;0,2;0,2;0,2;0,75;0,2;0,38;0,2;0,33;0,36;0,3;0,3;0,3;0,3;0,2;0,3;0,36;0,3;;0,36;0,3;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,36;0,36
fracBB1;pBB1;-;0,15;0,1;0,125;0,125;0,125;0,17;0,125;0,15;0,125;0,18;0,125;0,11;0,1;0,1;0,1;0,1;0,1;0,125;0,1;0,1;0,2;;0,1;0,1;0,125;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
tBB;tBB;years;2;10;20;20;20;10;20;2;20;10;20;10;20;10;10;10;10;20;10;20;2;;20;10;20;10;10;10;10;10;10;10;20;20
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rhoMin;?0;Mg/m3 = g/cm3;0,45;0,37;0,57;0,58;0,57;0,49;0,342;0,567;0,59;0,5;0,55;0,4;0,66;0,374;0,4;0,44;0,44;0,58;0,374;0,66;0,64;0,58;0,66;0,37;0,342;0,4;0,374;0,374;0,374;0,374;0,374;0,374;0,66;0,66
rhoMax;?1;Mg/m3 = g/cm3;0,45;0,37;0,57;0,58;0,57;0,49;0,576;0,567;0,59;0,5;0,55;0,5;0,5;0,425;0,4;0,44;0,44;0,58;0,425;0,5;0,64;0,58;0,5;0,37;0,576;0,4;0,425;0,425;0,425;0,425;0,425;0,425;0,5;0,5
tRho;t?;years;4;1;1;1;1;4;128,1;1;1;1;1;4;4;50;1;1;1;1;50;4;4;1;4;1;128,1;1;50;50;50;50;50;50;4;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aH;aH;-;0;30,91;20,09;20,09;30,42;30,42;30,42;1,007926944;35,5;40,17;30,66;45,69;46,09;37,73;37,73;45,69;45,69;20,09;46,09;39,46;0;;39,46;30,91;30,42;37,73;37,73;37,73;37,73;37,73;37,73;37,73;39,46;39,46
nHB;nHB;-;0;16,78;6,42;6,42;11,65;11,65;11,65;0,5375352;13,99;19,84;14,36;23,01;24,57;17,85;17,85;23,01;23,01;6,42;24,57;16,37;0;;16,37;16,78;11,65;17,85;17,85;17,85;17,85;17,85;17,85;17,85;16,37;16,37
nHC;nHC;-;0;0,00925;0,01365;0,01365;0,00825;0,00825;0,00825;0,4498478;0,00675;0,00398;0,00513;0;0,00576;0,00636;0,00636;0;0;0,01365;0,00576;0;0;;0;0,00925;0,00825;0,00636;0,00636;0,00636;0,00636;0,00636;0,00636;0,00636;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aV;aV;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
nVB;nVB;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
nVH;nVH;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
nVBH;nVBH;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
crownshape;-;-;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aK;aK;-;1,2118;0,83;0,37;0,37;0,43;0,43;0,43;0,938952425;0,43;0,66;0,88;0,65;0,31;0,63;0,63;0,65;0,65;0,255;0,65;0,31;;0,255;0,31;0,83;0,43;0,63;0,63;0,63;0,63;0,63;0,63;0,63;0,31;0,31
nKB;nKB;-;0,5804;0,53;0,84;0,84;0,73;0,73;0,73;0,5812155;0,81;0,72;0,6;0,83;1,03;0,64;0,64;0,83;0,83;0,8434;0,69;1,03;;0,8434;1,03;0,53;0,73;0,64;0,64;0,64;0,64;0,64;0,64;0,64;1,03;1,03
nKH;nKH;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
nKC;nKC;-;0;0;0;0;0,122;0,122;0,122;0;0;-0,14;0;-0,267;-0,15;-0,069;-0,069;-0,267;-0,267;0;-0,037;-0,15;;0;-0,15;0;0,122;-0,069;-0,069;-0,069;-0,069;-0,069;-0,069;-0,069;-0,15;-0,15
nKrh;nKrh;;-0,002;0;0;0;-0,126;-0,126;-0,126;0;0;0,248;0;-0,087;0;0,067;0,067;-0,087;-0,087;-0,002;0,196;0;;-0,002;0;0;-0,126;0,067;0,067;0,067;0,067;0,067;0,067;0,067;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aHL;aHL;-;1;24,93;9,72;9,72;23,32;23,32;23,32;6,269003734;17,23;27,97;18,42;11,77;20,13;35,18;35,18;11,77;11,77;1;21,18;20,13;;1;20,13;24,93;23,32;35,18;35,18;35,18;35,18;35,18;35,18;35,18;20,13;20,13
nHLB;nHLB;-;0,7;25,09;6,35;6,35;14,95;14,95;14,95;0,1891636;13,92;28,73;19,35;17,01;19,05;27,18;27,18;17,01;17,01;0,7;24,73;19,05;;0,7;19,05;25,09;14,95;27,18;27,18;27,18;27,18;27,18;27,18;27,18;19,05;19,05
nHLL;nHLL;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0
nHLC;nHLC;-;0;-0,002;0,005;0,005;0;0;0;0;0;-0,002;0;0;0;-0,005;-0,005;0;0;0;0,002;0;;;0;-0,002;0;-0,005;-0,005;-0,005;-0,005;-0,005;-0,005;-0,005;0;0
nHLrh;nHLrh;;0;0;0;0;0;0;0;0,6551283;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dscale0;scB0;-;0;-2,052;-3,612;-3,612;-2,439;-2,439;-2,439;-2,439;-2,429;-1,624;-2,668;-1,049;-0,861;-2,023;-2,023;-1,049;-1,049;0;-1,568;-0,861;;;-0,861;-2,052;-2,439;-2,023;-2,023;-2,023;-2,023;-2,023;-2,023;-2,023;-0,861;-0,861
DscaleB;scBB;-;0;1,077;2,043;2,043;1,008;1,008;1,008;1,008;1,308;1,235;2,081;0,801;0,958;1,136;1,136;0,801;0,801;0;1,982;0,958;;;0,958;1,077;1,008;1,136;1,136;1,136;1,136;1,136;1,136;1,136;0,958;0,958
Dscalerh;scBrh;-;0;0,757;0;0;0,21;0,21;0,21;0,21;0;0;0,676;0;0;0,051;0,051;0;0;0;0,055;0;;;0;0,757;0,21;0,051;0,051;0,051;0,051;0,051;0,051;0,051;0;0
Dscalet;scBt;-;0;0;0;0;0,187;0,187;0,187;0,187;0;-0,237;0,04;0,108;0;-0,049;-0,049;0,108;0,108;0;-0,902;0;;;0;0;0,187;-0,049;-0,049;-0,049;-0,049;-0,049;-0,049;-0,049;0;0
DscaleC;scBC;-;0;0,403;0;0;0,295;0,295;0,295;0,295;0,199;0,435;-0,328;0,186;0;0,382;0,382;0,186;0,186;0;0,395;0;;;0;0,403;0,295;0,382;0,382;0,382;0,382;0,382;0,382;0,382;0;0
Dshape0;shB0;-;0;-0,13;0,508;0,508;0,491;0,491;0,491;0,491;0,475;-0,109;-3,434;-0,689;-0,792;0,328;0,328;-0,689;-0,689;0;0,985;-0,792;;;-0,792;-0,13;0,491;0,328;0,328;0,328;0,328;0,328;0,328;0,328;-0,792;-0,792
DshapeB;shBB;-;0;0,228;0;0;0,345;0,345;0,345;0,345;0;0,481;1,882;0,372;0;0,562;0,562;0,372;0,372;0;0;0;;;0;0,228;0,345;0,562;0,562;0,562;0,562;0,562;0,562;0,562;0;0
Dshaperh;shBrh;-;0;0,777;0;0;0,701;0,701;0,701;0,701;0;0,639;3,007;0;0;0,037;0,037;0;0;0;0;0;;;0;0,777;0,701;0,037;0,037;0,037;0,037;0,037;0,037;0,037;0;0
Dshapet;shBt;-;0;0;0;0;-0,138;-0,138;-0,138;-0,138;0;-0,195;0;0;0;-0,254;-0,254;0;0;0;0;0;;;0;0;-0,138;-0,254;-0,254;-0,254;-0,254;-0,254;-0,254;-0,254;0;0
DshapeC;shBC;-;0;0;0;0;-0,128;-0,128;-0,128;-0,128;0;0;0;0,111;0,583;-0,117;-0,117;0,111;0,111;0;-0,073;0,583;;;0,583;0;-0,128;-0,117;-0,117;-0,117;-0,117;-0,117;-0,117;-0,117;0,583;0,583
Dlocation0;locB0;-;0;0,462;2,167;2,167;0,723;0,723;0,723;0,723;0,601;0,293;1,485;0,129;-0,444;0,391;0,391;0,129;0,129;0;0,284;-0,444;;;-0,444;0,462;0,723;0,391;0,391;0,391;0,391;0,391;0,391;0,391;-0,444;-0,444
DlocationB;locBB;-;0;0,825;0;0;0,87;0,87;0,87;0,87;0,646;0,874;0,266;1,057;1,014;0,847;0,847;1,057;1,057;0;-0,241;1,014;;;1,014;0,825;0,87;0,847;0,847;0,847;0,847;0,847;0,847;0,847;1,014;1,014
Dlocationrh;locBrh;-;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,004;-0,004;0;0;0;0,065;0;;;0;0;0;-0,004;-0,004;-0,004;-0,004;-0,004;-0,004;-0,004;0;0
Dlocationt;locBt;-;0;0;0;0;-0,138;-0,138;-0,138;-0,138;0;0;0;-0,158;0;-0,001;-0,001;-0,158;-0,158;0;0,944;0;;;0;0;-0,138;-0,001;-0,001;-0,001;-0,001;-0,001;-0,001;-0,001;0;0
DlocationC;locBC;-;0;-0,2;0;0;-0,111;-0,111;-0,111;-0,111;0;-0,224;0;-0,103;0;-0,187;-0,187;-0,103;-0,103;0;-0,152;0;;;0;-0,2;-0,111;-0,187;-0,187;-0,187;-0,187;-0,187;-0,187;-0,187;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wsscale0;scw0;-;0;-3,118;-2,852;-2,852;-3,508;-3,508;-3,508;-3,508;-3,513;-2,768;-3,475;-2,905;-2,438;-3,366;-3,366;-2,905;-2,905;0;-3,454;-2,438;;;-2,438;-3,118;-3,508;-3,366;-3,366;-3,366;-3,366;-3,366;-3,366;-3,366;-2,438;-2,438
wsscaleB;scwB;-;0;2,384;2,619;2,619;2,445;2,445;2,445;2,445;2,859;2,461;2,715;2,081;2,606;2,369;2,369;2,081;2,081;0;2,447;2,606;;;2,606;2,384;2,445;2,369;2,369;2,369;2,369;2,369;2,369;2,369;2,606;2,606
wsscalerh;scwrh;-;0;1,255;3,294;3,294;0,401;0,401;0,401;0,401;0;0,114;1,183;0;0;0,222;0,222;0;0;0;0,118;0;;;0;1,255;0,401;0,222;0,222;0,222;0,222;0,222;0,222;0,222;0;0
