"record_id","site","site_id","year","forcingCondition","co2_ppm"
"1",1981,"global",21,1765,"historical",278.05158
"2",1982,"global",21,1766,"historical",278.10615
"3",1983,"global",21,1767,"historical",278.22039
"4",1984,"global",21,1768,"historical",278.34305
"5",1985,"global",21,1769,"historical",278.47058
"6",1986,"global",21,1770,"historical",278.60047
"7",1987,"global",21,1771,"historical",278.73275
"8",1988,"global",21,1772,"historical",278.86881
"9",1989,"global",21,1773,"historical",279.00907
"10",1990,"global",21,1774,"historical",279.15318
"11",1991,"global",21,1775,"historical",279.3018
"12",1992,"global",21,1776,"historical",279.4568
"13",1993,"global",21,1777,"historical",279.61808
"14",1994,"global",21,1778,"historical",279.78192
"15",1995,"global",21,1779,"historical",279.9432
"16",1996,"global",21,1780,"historical",280.0974
"17",1997,"global",21,1781,"historical",280.2428
"18",1998,"global",21,1782,"historical",280.38168
"19",1999,"global",21,1783,"historical",280.51832
"20",2000,"global",21,1784,"historical",280.6572
"21",2001,"global",21,1785,"historical",280.8026
"22",2002,"global",21,1786,"historical",280.9568
"23",2003,"global",21,1787,"historical",281.11808
"24",2004,"global",21,1788,"historical",281.28192
"25",2005,"global",21,1789,"historical",281.4432
"26",2006,"global",21,1790,"historical",281.5982
"27",2007,"global",21,1791,"historical",281.74682
"28",2008,"global",21,1792,"historical",281.89093
"29",2009,"global",21,1793,"historical",282.03119
"30",2010,"global",21,1794,"historical",282.16725
"31",2011,"global",21,1795,"historical",282.29901
"32",2012,"global",21,1796,"historical",282.4268
"33",2013,"global",21,1797,"historical",282.55093
"34",2014,"global",21,1798,"historical",282.67123
"35",2015,"global",21,1799,"historical",282.7873
"36",2016,"global",21,1800,"historical",282.89901
"37",2017,"global",21,1801,"historical",283.00677
"38",2018,"global",21,1802,"historical",283.11093
"39",2019,"global",21,1803,"historical",283.21129
"40",2020,"global",21,1804,"historical",283.30737
"41",2021,"global",21,1805,"historical",283.39963
"42",2022,"global",21,1806,"historical",283.48978
"43",2023,"global",21,1807,"historical",283.57796
"44",2024,"global",21,1808,"historical",283.66116
"45",2025,"global",21,1809,"historical",283.73511
"46",2026,"global",21,1810,"historical",283.79676
"47",2027,"global",21,1811,"historical",283.84667
"48",2028,"global",21,1812,"historical",283.88853
"49",2029,"global",21,1813,"historical",283.92613
"50",2030,"global",21,1814,"historical",283.96267
"51",2031,"global",21,1815,"historical",284.00107
"52",2032,"global",21,1816,"historical",284.04267
"53",2033,"global",21,1817,"historical",284.08613
"54",2034,"global",21,1818,"historical",284.12853
"55",2035,"global",21,1819,"historical",284.16667
"56",2036,"global",21,1820,"historical",284.1982
"57",2037,"global",21,1821,"historical",284.22333
"58",2038,"global",21,1822,"historical",284.24427
"59",2039,"global",21,1823,"historical",284.26307
"60",2040,"global",21,1824,"historical",284.28133
"61",2041,"global",21,1825,"historical",284.30027
"62",2042,"global",21,1826,"historical",284.32
"63",2043,"global",21,1827,"historical",284.34
"64",2044,"global",21,1828,"historical",284.36
"65",2045,"global",21,1829,"historical",284.38
"66",2046,"global",21,1830,"historical",284.4
"67",2047,"global",21,1831,"historical",284.385
"68",2048,"global",21,1832,"historical",284.28
"69",2049,"global",21,1833,"historical",284.125
"70",2050,"global",21,1834,"historical",283.975
"71",2051,"global",21,1835,"historical",283.825
"72",2052,"global",21,1836,"historical",283.675
"73",2053,"global",21,1837,"historical",283.525
"74",2054,"global",21,1838,"historical",283.425
"75",2055,"global",21,1839,"historical",283.4
"76",2056,"global",21,1840,"historical",283.4
"77",2057,"global",21,1841,"historical",283.425
"78",2058,"global",21,1842,"historical",283.5
"79",2059,"global",21,1843,"historical",283.6
"80",2060,"global",21,1844,"historical",283.725
"81",2061,"global",21,1845,"historical",283.9
"82",2062,"global",21,1846,"historical",284.075
"83",2063,"global",21,1847,"historical",284.225
"84",2064,"global",21,1848,"historical",284.4
"85",2065,"global",21,1849,"historical",284.575
"86",2066,"global",21,1850,"historical",284.725
"87",2067,"global",21,1851,"historical",284.875
"88",2068,"global",21,1852,"historical",285
"89",2069,"global",21,1853,"historical",285.125
"90",2070,"global",21,1854,"historical",285.275
"91",2071,"global",21,1855,"historical",285.425
"92",2072,"global",21,1856,"historical",285.575
"93",2073,"global",21,1857,"historical",285.725
"94",2074,"global",21,1858,"historical",285.9
"95",2075,"global",21,1859,"historical",286.075
"96",2076,"global",21,1860,"historical",286.225
"97",2077,"global",21,1861,"historical",286.375
"98",2078,"global",21,1862,"historical",286.5
"99",2079,"global",21,1863,"historical",286.625
"100",2080,"global",21,1864,"historical",286.775
"101",2081,"global",21,1865,"historical",286.9
"102",2082,"global",21,1866,"historical",287
"103",2083,"global",21,1867,"historical",287.1
"104",2084,"global",21,1868,"historical",287.225
"105",2085,"global",21,1869,"historical",287.375
"106",2086,"global",21,1870,"historical",287.525
"107",2087,"global",21,1871,"historical",287.7
"108",2088,"global",21,1872,"historical",287.9
"109",2089,"global",21,1873,"historical",288.125
"110",2090,"global",21,1874,"historical",288.4
"111",2091,"global",21,1875,"historical",288.7
"112",2092,"global",21,1876,"historical",289.025
"113",2093,"global",21,1877,"historical",289.4
"114",2094,"global",21,1878,"historical",289.8
"115",2095,"global",21,1879,"historical",290.225
"116",2096,"global",21,1880,"historical",290.7
"117",2097,"global",21,1881,"historical",291.2
"118",2098,"global",21,1882,"historical",291.675
"119",2099,"global",21,1883,"historical",292.125
"120",2100,"global",21,1884,"historical",292.575
"121",2101,"global",21,1885,"historical",292.975
"122",2102,"global",21,1886,"historical",293.3
"123",2103,"global",21,1887,"historical",293.575
"124",2104,"global",21,1888,"historical",293.8
"125",2105,"global",21,1889,"historical",294
"126",2106,"global",21,1890,"historical",294.175
"127",2107,"global",21,1891,"historical",294.325
"128",2108,"global",21,1892,"historical",294.475
"129",2109,"global",21,1893,"historical",294.6
"130",2110,"global",21,1894,"historical",294.7
"131",2111,"global",21,1895,"historical",294.8
"132",2112,"global",21,1896,"historical",294.9
"133",2113,"global",21,1897,"historical",295.025
"134",2114,"global",21,1898,"historical",295.225
"135",2115,"global",21,1899,"historical",295.5
"136",2116,"global",21,1900,"historical",295.8
"137",2117,"global",21,1901,"historical",296.125
"138",2118,"global",21,1902,"historical",296.475
