"record_id","site","site_id","year","forcingCondition","co2_ppm"
"139",2119,"global",21,1903,"historical",296.825
"140",2120,"global",21,1904,"historical",297.2
"141",2121,"global",21,1905,"historical",297.625
"142",2122,"global",21,1906,"historical",298.075
"143",2123,"global",21,1907,"historical",298.5
"144",2124,"global",21,1908,"historical",298.9
"145",2125,"global",21,1909,"historical",299.3
"146",2126,"global",21,1910,"historical",299.7
"147",2127,"global",21,1911,"historical",300.075
"148",2128,"global",21,1912,"historical",300.425
"149",2129,"global",21,1913,"historical",300.775
"150",2130,"global",21,1914,"historical",301.1
"151",2131,"global",21,1915,"historical",301.4
"152",2132,"global",21,1916,"historical",301.725
"153",2133,"global",21,1917,"historical",302.075
"154",2134,"global",21,1918,"historical",302.4
"155",2135,"global",21,1919,"historical",302.7
"156",2136,"global",21,1920,"historical",303.025
"157",2137,"global",21,1921,"historical",303.4
"158",2138,"global",21,1922,"historical",303.775
"159",2139,"global",21,1923,"historical",304.125
"160",2140,"global",21,1924,"historical",304.525
"161",2141,"global",21,1925,"historical",304.975
"162",2142,"global",21,1926,"historical",305.4
"163",2143,"global",21,1927,"historical",305.825
"164",2144,"global",21,1928,"historical",306.3
"165",2145,"global",21,1929,"historical",306.775
"166",2146,"global",21,1930,"historical",307.225
"167",2147,"global",21,1931,"historical",307.7
"168",2148,"global",21,1932,"historical",308.175
"169",2149,"global",21,1933,"historical",308.6
"170",2150,"global",21,1934,"historical",309
"171",2151,"global",21,1935,"historical",309.4
"172",2152,"global",21,1936,"historical",309.75
"173",2153,"global",21,1937,"historical",310
"174",2154,"global",21,1938,"historical",310.175
"175",2155,"global",21,1939,"historical",310.3
"176",2156,"global",21,1940,"historical",310.375
"177",2157,"global",21,1941,"historical",310.375
"178",2158,"global",21,1942,"historical",310.3
"179",2159,"global",21,1943,"historical",310.2
"180",2160,"global",21,1944,"historical",310.125
"181",2161,"global",21,1945,"historical",310.1
"182",2162,"global",21,1946,"historical",310.125
"183",2163,"global",21,1947,"historical",310.2
"184",2164,"global",21,1948,"historical",310.325
"185",2165,"global",21,1949,"historical",310.5
"186",2166,"global",21,1950,"historical",310.75
"187",2167,"global",21,1951,"historical",311.1
"188",2168,"global",21,1952,"historical",311.5
"189",2169,"global",21,1953,"historical",311.925
"190",2170,"global",21,1954,"historical",312.425
"191",2171,"global",21,1955,"historical",313
"192",2172,"global",21,1956,"historical",313.6
"193",2173,"global",21,1957,"historical",314.225
"194",2174,"global",21,1958,"historical",314.8475
"195",2175,"global",21,1959,"historical",315.5
"196",2176,"global",21,1960,"historical",316.2725
"197",2177,"global",21,1961,"historical",317.075
"198",2178,"global",21,1962,"historical",317.795
"199",2179,"global",21,1963,"historical",318.3975
"200",2180,"global",21,1964,"historical",318.925
"201",2181,"global",21,1965,"historical",319.6475
"202",2182,"global",21,1966,"historical",320.6475
"203",2183,"global",21,1967,"historical",321.605
"204",2184,"global",21,1968,"historical",322.635
"205",2185,"global",21,1969,"historical",323.9025
"206",2186,"global",21,1970,"historical",324.985
"207",2187,"global",21,1971,"historical",325.855
"208",2188,"global",21,1972,"historical",327.14
"209",2189,"global",21,1973,"historical",328.6775
"210",2190,"global",21,1974,"historical",329.7425
"211",2191,"global",21,1975,"historical",330.585
"212",2192,"global",21,1976,"historical",331.7475
"213",2193,"global",21,1977,"historical",333.2725
"214",2194,"global",21,1978,"historical",334.8475
"215",2195,"global",21,1979,"historical",336.525
"216",2196,"global",21,1980,"historical",338.36
"217",2197,"global",21,1981,"historical",339.7275
"218",2198,"global",21,1982,"historical",340.7925
"219",2199,"global",21,1983,"historical",342.1975
"220",2200,"global",21,1984,"historical",343.7825
"221",2201,"global",21,1985,"historical",345.2825
"222",2202,"global",21,1986,"historical",346.7975
"223",2203,"global",21,1987,"historical",348.645
"224",2204,"global",21,1988,"historical",350.7375
"225",2205,"global",21,1989,"historical",352.4875
"226",2206,"global",21,1990,"historical",353.855
"227",2207,"global",21,1991,"historical",355.0175
"228",2208,"global",21,1992,"historical",355.885
"229",2209,"global",21,1993,"historical",356.7775
"230",2210,"global",21,1994,"historical",358.1275
"231",2211,"global",21,1995,"historical",359.8375
"232",2212,"global",21,1996,"historical",361.4625
"233",2213,"global",21,1997,"historical",363.155
"234",2214,"global",21,1998,"historical",365.3225
"235",2215,"global",21,1999,"historical",367.3475
"236",2216,"global",21,2000,"historical",368.865
"237",2217,"global",21,2001,"historical",370.4675
"238",2218,"global",21,2002,"historical",372.5225
"239",2219,"global",21,2003,"historical",374.76
"240",2220,"global",21,2004,"historical",376.8125
"241",2221,"global",21,2005,"historical",378.8125
"242",2222,"global",21,2006,"historical",380.93
"243",2223,"global",21,2007,"historical",382.7
"244",2224,"global",21,2008,"historical",384.77
"245",2225,"global",21,2009,"historical",386.28
"246",2226,"global",21,2010,"historical",388.57
"247",2227,"global",21,2011,"historical",390.49
"248",2228,"global",21,2012,"historical",392.52
"249",2229,"global",21,2013,"historical",395.31
"250",2230,"global",21,2014,"historical",397.11
"251",2231,"global",21,2015,"historical",399.41
"1110",11,"global",21,2016,"rcp2p6",402.9683
"1210",12,"global",21,2017,"rcp2p6",405.25182
"1310",13,"global",21,2018,"rcp2p6",407.52882
"1410",14,"global",21,2019,"rcp2p6",409.80029
"1510",15,"global",21,2020,"rcp2p6",412.06783
"1610",16,"global",21,2021,"rcp2p6",414.32565
"1710",17,"global",21,2022,"rcp2p6",416.51662
"1810",18,"global",21,2023,"rcp2p6",418.60322
"1910",19,"global",21,2024,"rcp2p6",420.60132
"2010",20,"global",21,2025,"rcp2p6",422.51575
"2110",21,"global",21,2026,"rcp2p6",424.34901
"2210",22,"global",21,2027,"rcp2p6",426.09675
"2310",23,"global",21,2028,"rcp2p6",427.75232
"2410",24,"global",21,2029,"rcp2p6",429.31381
"2510",25,"global",21,2030,"rcp2p6",430.78315
"2610",26,"global",21,2031,"rcp2p6",432.16344
"2710",27,"global",21,2032,"rcp2p6",433.43618
"2810",28,"global",21,2033,"rcp2p6",434.59273
"2910",29,"global",21,2034,"rcp2p6",435.65302
"3010",30,"global",21,2035,"rcp2p6",436.62804
"3110",31,"global",21,2036,"rcp2p6",437.52158
"3210",32,"global",21,2037,"rcp2p6",438.33433
"3310",33,"global",21,2038,"rcp2p6",439.06015
"3410",34,"global",21,2039,"rcp2p6",439.69061
"3510",35,"global",21,2040,"rcp2p6",440.2224
"3610",36,"global",21,2041,"rcp2p6",440.65666
"3710",37,"global",21,2042,"rcp2p6",441.02476
"3810",38,"global",21,2043,"rcp2p6",441.34651
"3910",39,"global",21,2044,"rcp2p6",441.621
"4010",40,"global",21,2045,"rcp2p6",441.8644
"4110",41,"global",21,2046,"rcp2p6",442.08482
"4210",42,"global",21,2047,"rcp2p6",442.2834
"4310",43,"global",21,2048,"rcp2p6",442.4583
"4410",44,"global",21,2049,"rcp2p6",442.60091
"4510",45,"global",21,2050,"rcp2p6",442.70046
"4610",46,"global",21,2051,"rcp2p6",442.75184
"4710",47,"global",21,2052,"rcp2p6",442.761
"4810",48,"global",21,2053,"rcp2p6",442.73417
"496",49,"global",21,2054,"rcp2p6",442.66263
"501",50,"global",21,2055,"rcp2p6",442.54767
"511",51,"global",21,2056,"rcp2p6",442.40642
"521",52,"global",21,2057,"rcp2p6",442.24833
"531",53,"global",21,2058,"rcp2p6",442.07535
"541",54,"global",21,2059,"rcp2p6",441.88625
"551",55,"global",21,2060,"rcp2p6",441.67274
"561",56,"global",21,2061,"rcp2p6",441.42415
"571",57,"global",21,2062,"rcp2p6",441.1345
"581",58,"global",21,2063,"rcp2p6",440.80284
"591",59,"global",21,2064,"rcp2p6",440.43041
"601",60,"global",21,2065,"rcp2p6",440.01021
"611",61,"global",21,2066,"rcp2p6",439.54473
"621",62,"global",21,2067,"rcp2p6",439.05222
"631",63,"global",21,2068,"rcp2p6",438.54291
"641",64,"global",21,2069,"rcp2p6",438.01932
"651",65,"global",21,2070,"rcp2p6",437.48062
"661",66,"global",21,2071,"rcp2p6",436.91878
"671",67,"global",21,2072,"rcp2p6",436.34251
"681",68,"global",21,2073,"rcp2p6",435.76436
"691",69,"global",21,2074,"rcp2p6",435.18189
"701",70,"global",21,2075,"rcp2p6",434.595
"711",71,"global",21,2076,"rcp2p6",433.99542
"721",72,"global",21,2077,"rcp2p6",433.38456
"731",73,"global",21,2078,"rcp2p6",432.77961
"741",74,"global",21,2079,"rcp2p6",432.18978
"751",75,"global",21,2080,"rcp2p6",431.61659
"761",76,"global",21,2081,"rcp2p6",431.05847
"771",77,"global",21,2082,"rcp2p6",430.51026
"781",78,"global",21,2083,"rcp2p6",429.96413
"791",79,"global",21,2084,"rcp2p6",429.41411
"801",80,"global",21,2085,"rcp2p6",428.85906
"811",81,"global",21,2086,"rcp2p6",428.2991
"821",82,"global",21,2087,"rcp2p6",427.72652
"831",83,"global",21,2088,"rcp2p6",427.14308
"841",84,"global",21,2089,"rcp2p6",426.56607
"851",85,"global",21,2090,"rcp2p6",426.00472
"861",86,"global",21,2091,"rcp2p6",425.46065
"871",87,"global",21,2092,"rcp2p6",424.93745
"881",88,"global",21,2093,"rcp2p6",424.43129
"891",89,"global",21,2094,"rcp2p6",423.93083
"901",90,"global",21,2095,"rcp2p6",423.43058
"911",91,"global",21,2096,"rcp2p6",422.92945
"921",92,"global",21,2097,"rcp2p6",422.42761
"931",93,"global",21,2098,"rcp2p6",421.91753
"941",94,"global",21,2099,"rcp2p6",421.40111
"951",95,"global",21,2100,"rcp2p6",420.89546
"961",96,"global",21,2101,"rcp2p6",420.40998
"971",97,"global",21,2102,"rcp2p6",419.94532
"981",98,"global",21,2103,"rcp2p6",419.49831
"991",99,"global",21,2104,"rcp2p6",419.05981
"1001",100,"global",21,2105,"rcp2p6",418.61902
"1011",101,"global",21,2106,"rcp2p6",418.17082
"1021",102,"global",21,2107,"rcp2p6",417.71454
"1031",103,"global",21,2108,"rcp2p6",417.2507
"1041",104,"global",21,2109,"rcp2p6",416.77219
"1051",105,"global",21,2110,"rcp2p6",416.28127
"1061",106,"global",21,2111,"rcp2p6",415.79518
"1071",107,"global",21,2112,"rcp2p6",415.32319
"1081",108,"global",21,2113,"rcp2p6",414.86696
"1091",109,"global",21,2114,"rcp2p6",414.42496
"1101",110,"global",21,2115,"rcp2p6",413.98893
"1111",111,"global",21,2116,"rcp2p6",413.54867
"1121",112,"global",21,2117,"rcp2p6",413.09942
"1131",113,"global",21,2118,"rcp2p6",412.64076
"1141",114,"global",21,2119,"rcp2p6",412.17338
"1151",115,"global",21,2120,"rcp2p6",411.69045
"1161",116,"global",21,2121,"rcp2p6",411.19435
"1171",117,"global",21,2122,"rcp2p6",410.70228
"1181",118,"global",21,2123,"rcp2p6",410.22339
"1191",119,"global",21,2124,"rcp2p6",409.7593
"1201",120,"global",21,2125,"rcp2p6",409.30847
"1211",121,"global",21,2126,"rcp2p6",408.8627
"1221",122,"global",21,2127,"rcp2p6",408.41656
"1231",123,"global",21,2128,"rcp2p6",407.96956
"1241",124,"global",21,2129,"rcp2p6",407.52073
"1251",125,"global",21,2130,"rcp2p6",407.07051
"1261",126,"global",21,2131,"rcp2p6",406.61189
"1271",127,"global",21,2132,"rcp2p6",406.14707
"1281",128,"global",21,2133,"rcp2p6",405.69286
"1291",129,"global",21,2134,"rcp2p6",405.25809
"1301",130,"global",21,2135,"rcp2p6",404.84413
"1311",131,"global",21,2136,"rcp2p6",404.44922
"1321",132,"global",21,2137,"rcp2p6",404.06507
"1331",133,"global",21,2138,"rcp2p6",403.68161
"1341",134,"global",21,2139,"rcp2p6",403.29415
"1351",135,"global",21,2140,"rcp2p6",402.90226
"1361",136,"global",21,2141,"rcp2p6",402.50662
"1371",137,"global",21,2142,"rcp2p6",402.10056
"1381",138,"global",21,2143,"rcp2p6",401.68653
"1391",139,"global",21,2144,"rcp2p6",401.28131
"1401",140,"global",21,2145,"rcp2p6",400.89375
"1411",141,"global",21,2146,"rcp2p6",400.52523
"1421",142,"global",21,2147,"rcp2p6",400.17404
"1431",143,"global",21,2148,"rcp2p6",399.83204
"1441",144,"global",21,2149,"rcp2p6",399.4893
"1451",145,"global",21,2150,"rcp2p6",399.14131
"1461",146,"global",21,2151,"rcp2p6",398.78772
"1471",147,"global",21,2152,"rcp2p6",398.42927
"1481",148,"global",21,2153,"rcp2p6",398.0595
"1491",149,"global",21,2154,"rcp2p6",397.68091
"1501",150,"global",21,2155,"rcp2p6",397.31021
"1511",151,"global",21,2156,"rcp2p6",396.95616
"1521",152,"global",21,2157,"rcp2p6",396.62009
"1531",153,"global",21,2158,"rcp2p6",396.3003
"1541",154,"global",21,2159,"rcp2p6",395.98871
"1551",155,"global",21,2160,"rcp2p6",395.67554
"1561",156,"global",21,2161,"rcp2p6",395.35634
"1571",157,"global",21,2162,"rcp2p6",395.03085
"1581",158,"global",21,2163,"rcp2p6",394.69985
"1591",159,"global",21,2164,"rcp2p6",394.357
"1601",160,"global",21,2165,"rcp2p6",394.00489
"1611",161,"global",21,2166,"rcp2p6",393.6601
"1621",162,"global",21,2167,"rcp2p6",393.33128
"1631",163,"global",21,2168,"rcp2p6",393.01974
"1641",164,"global",21,2169,"rcp2p6",392.72374
"1651",165,"global",21,2170,"rcp2p6",392.43525
"1661",166,"global",21,2171,"rcp2p6",392.1446
"1671",167,"global",21,2172,"rcp2p6",391.84744
"1681",168,"global",21,2173,"rcp2p6",391.54354
"1691",169,"global",21,2174,"rcp2p6",391.2337
"1701",170,"global",21,2175,"rcp2p6",390.91172
"1711",171,"global",21,2176,"rcp2p6",390.58024
"1721",172,"global",21,2177,"rcp2p6",390.25571
"1731",173,"global",21,2178,"rcp2p6",389.94668
"1741",174,"global",21,2179,"rcp2p6",389.65441
"1751",175,"global",21,2180,"rcp2p6",389.37713
"1761",176,"global",21,2181,"rcp2p6",389.10687
"1771",177,"global",21,2182,"rcp2p6",388.83404
"1781",178,"global",21,2183,"rcp2p6",388.55437
"1791",179,"global",21,2184,"rcp2p6",388.26765
"1801",180,"global",21,2185,"rcp2p6",387.97473
"1811",181,"global",21,2186,"rcp2p6",387.6695
"1821",182,"global",21,2187,"rcp2p6",387.35465
"1831",183,"global",21,2188,"rcp2p6",387.04651
"1841",184,"global",21,2189,"rcp2p6",386.75353
"1851",185,"global",21,2190,"rcp2p6",386.47692
"1861",186,"global",21,2191,"rcp2p6",386.21487
"1871",187,"global",21,2192,"rcp2p6",385.95946
"1881",188,"global",21,2193,"rcp2p6",385.70118
"1891",189,"global",21,2194,"rcp2p6",385.43582
"1901",190,"global",21,2195,"rcp2p6",385.16322
"1911",191,"global",21,2196,"rcp2p6",384.88424
"1921",192,"global",21,2197,"rcp2p6",384.59286
"1931",193,"global",21,2198,"rcp2p6",384.29183
"1941",194,"global",21,2199,"rcp2p6",383.99735
"1951",195,"global",21,2200,"rcp2p6",383.71778
"1961",196,"global",21,2201,"rcp2p6",383.45425
"1971",197,"global",21,2202,"rcp2p6",383.20495
"1981",198,"global",21,2203,"rcp2p6",382.96197
"1991",199,"global",21,2204,"rcp2p6",382.71591
"2001",200,"global",21,2205,"rcp2p6",382.4626
"2011",201,"global",21,2206,"rcp2p6",382.20191
"2021",202,"global",21,2207,"rcp2p6",381.93471
"2031",203,"global",21,2208,"rcp2p6",381.6551
"2041",204,"global",21,2209,"rcp2p6",381.36585
"2051",205,"global",21,2210,"rcp2p6",381.08304
"2061",206,"global",21,2211,"rcp2p6",380.81494
"2071",207,"global",21,2212,"rcp2p6",380.56263
"2081",208,"global",21,2213,"rcp2p6",380.32426
"2091",209,"global",21,2214,"rcp2p6",380.09195
"2101",210,"global",21,2215,"rcp2p6",379.85638
"2111",211,"global",21,2216,"rcp2p6",379.61345
"2121",212,"global",21,2217,"rcp2p6",379.36304
"2131",213,"global",21,2218,"rcp2p6",379.10604
"2141",214,"global",21,2219,"rcp2p6",378.83665
"2151",215,"global",21,2220,"rcp2p6",378.55765
"2161",216,"global",21,2221,"rcp2p6",378.28503
"2171",217,"global",21,2222,"rcp2p6",378.02696
"2181",218,"global",21,2223,"rcp2p6",377.78445
"2191",219,"global",21,2224,"rcp2p6",377.55563
"2201",220,"global",21,2225,"rcp2p6",377.33266
"2211",221,"global",21,2226,"rcp2p6",377.10629
"2221",222,"global",21,2227,"rcp2p6",376.87246
"2231",223,"global",21,2228,"rcp2p6",376.63109
"2241",224,"global",21,2229,"rcp2p6",376.38308
"2251",225,"global",21,2230,"rcp2p6",376.12271
"2261",226,"global",21,2231,"rcp2p6",375.85281
"2271",227,"global",21,2232,"rcp2p6",375.58923
"2281",228,"global",21,2233,"rcp2p6",375.34006
"2291",229,"global",21,2234,"rcp2p6",375.10628
"2301",230,"global",21,2235,"rcp2p6",374.88595
"2311",231,"global",21,2236,"rcp2p6",374.67128
"2321",232,"global",21,2237,"rcp2p6",374.4531
"2331",233,"global",21,2238,"rcp2p6",374.22739
"2341",234,"global",21,2239,"rcp2p6",373.9941
"2351",235,"global",21,2240,"rcp2p6",373.75412
"2361",236,"global",21,2241,"rcp2p6",373.50184
"2371",237,"global",21,2242,"rcp2p6",373.24011
"2381",238,"global",21,2243,"rcp2p6",372.98467
"2391",239,"global",21,2244,"rcp2p6",372.74353
"2401",240,"global",21,2245,"rcp2p6",372.51759
"2411",241,"global",21,2246,"rcp2p6",372.30492
"2421",242,"global",21,2247,"rcp2p6",372.09773
"2431",243,"global",21,2248,"rcp2p6",371.88692
"2441",244,"global",21,2249,"rcp2p6",371.66854
"2451",245,"global",21,2250,"rcp2p6",371.44254
"2461",246,"global",21,2251,"rcp2p6",371.20984
"2471",247,"global",21,2252,"rcp2p6",370.96489
"2481",248,"global",21,2253,"rcp2p6",370.71059
"2491",249,"global",21,2254,"rcp2p6",370.46256
"2501",250,"global",21,2255,"rcp2p6",370.22872
"2511",251,"global",21,2256,"rcp2p6",370.00993
"252",252,"global",21,2257,"rcp2p6",369.80422
"253",253,"global",21,2258,"rcp2p6",369.60385
"254",254,"global",21,2259,"rcp2p6",369.39976
"255",255,"global",21,2260,"rcp2p6",369.18806
"256",256,"global",21,2261,"rcp2p6",368.96871
"257",257,"global",21,2262,"rcp2p6",368.74266
"258",258,"global",21,2263,"rcp2p6",368.50442
"259",259,"global",21,2264,"rcp2p6",368.25693
"260",260,"global",21,2265,"rcp2p6",368.0157
"261",261,"global",21,2266,"rcp2p6",367.78857
"262",262,"global",21,2267,"rcp2p6",367.57635
"263",263,"global",21,2268,"rcp2p6",367.37703
"264",264,"global",21,2269,"rcp2p6",367.1829
"265",265,"global",21,2270,"rcp2p6",366.98498
"266",266,"global",21,2271,"rcp2p6",366.77941
"267",267,"global",21,2272,"rcp2p6",366.56619
"268",268,"global",21,2273,"rcp2p6",366.34625
"269",269,"global",21,2274,"rcp2p6",366.11421
"270",270,"global",21,2275,"rcp2p6",365.873
"271",271,"global",21,2276,"rcp2p6",365.63806
"272",272,"global",21,2277,"rcp2p6",365.41713
"273",273,"global",21,2278,"rcp2p6",365.21098
"274",274,"global",21,2279,"rcp2p6",365.01757
"275",275,"global",21,2280,"rcp2p6",364.82921
"276",276,"global",21,2281,"rcp2p6",364.63699
"277",277,"global",21,2282,"rcp2p6",364.4371
"278",278,"global",21,2283,"rcp2p6",364.22954
"279",279,"global",21,2284,"rcp2p6",364.01526
"280",280,"global",21,2285,"rcp2p6",363.78896
"281",281,"global",21,2286,"rcp2p6",363.5536
"282",282,"global",21,2287,"rcp2p6",363.32451
"283",283,"global",21,2288,"rcp2p6",363.10935
"284",284,"global",21,2289,"rcp2p6",362.90884
"285",285,"global",21,2290,"rcp2p6",362.72091
"286",286,"global",21,2291,"rcp2p6",362.53791
"287",287,"global",21,2292,"rcp2p6",362.35099
"288",288,"global",21,2293,"rcp2p6",362.15637
"289",289,"global",21,2294,"rcp2p6",361.95408
"290",290,"global",21,2295,"rcp2p6",361.74508
"291",291,"global",21,2296,"rcp2p6",361.52413
"292",292,"global",21,2297,"rcp2p6",361.29423
"293",293,"global",21,2298,"rcp2p6",361.0706
"294",294,"global",21,2299,"rcp2p6",360.86083
"295",295,"global",21,2300,"rcp2p6",360.66558
"296",296,"global",21,2301,"rcp2p6",360.48278
"297",297,"global",21,2302,"rcp2p6",360.30479
"298",298,"global",21,2303,"rcp2p6",360.12281
"299",299,"global",21,2304,"rcp2p6",359.93311
"300",300,"global",21,2305,"rcp2p6",359.73574
"301",301,"global",21,2306,"rcp2p6",359.53167
"302",302,"global",21,2307,"rcp2p6",359.31573
"303",303,"global",21,2308,"rcp2p6",359.09095
"304",304,"global",21,2309,"rcp2p6",358.87244
"305",305,"global",21,2310,"rcp2p6",358.66772
"306",306,"global",21,2311,"rcp2p6",358.47742
"307",307,"global",21,2312,"rcp2p6",358.29942
"308",308,"global",21,2313,"rcp2p6",358.12611
"309",309,"global",21,2314,"rcp2p6",357.94876
"310",310,"global",21,2315,"rcp2p6",357.76367
"311",311,"global",21,2316,"rcp2p6",357.57092
"312",312,"global",21,2317,"rcp2p6",357.37148
"313",313,"global",21,2318,"rcp2p6",357.16025
"314",314,"global",21,2319,"rcp2p6",356.94027
"315",315,"global",21,2320,"rcp2p6",356.72659
"316",316,"global",21,2321,"rcp2p6",356.52662
"317",317,"global",21,2322,"rcp2p6",356.34097
"318",318,"global",21,2323,"rcp2p6",356.16748
"319",319,"global",21,2324,"rcp2p6",355.99857
"320",320,"global",21,2325,"rcp2p6",355.82557
"321",321,"global",21,2326,"rcp2p6",355.64482
"322",322,"global",21,2327,"rcp2p6",355.45642
"323",323,"global",21,2328,"rcp2p6",355.26133
