"ID","code_country","code_plot","latitude","longitude","lat","lon"
1,1,41,454500,25700,45,2.5
2,1,3,434400,-5000,43,"-0.5"
3,1,5,490100,54600,49,5
4,1,6,501000,34500,50,3
5,1,9,465800,51400,46.5,5
6,1,10,461000,51400,46,5
7,1,11,464000,24300,46,2
8,1,12,481700,42700,48,4
9,1,14,470400,50400,47,5
10,1,19,485200,62900,48.5,6
11,1,21,465800,33900,46.5,3
12,1,22,492300,21800,49,2
13,1,26,440200,14400,44,1
14,1,31,460900,14900,46,1
15,1,37,495600,44800,49.5,4
16,1,39,463400,55200,46,5.5
17,1,40,463100,60300,46,6
18,1,42,470000,40700,47,4
19,1,43,453500,64700,45,6
20,1,48,491200,30700,49,3
21,1,50,440700,54800,44,5
22,1,57,440600,33200,44,3
23,1,59,483000,64200,48,6
24,1,60,483800,60400,48,6
25,1,63,430900,-3900,43,"-0.5"
26,1,67,480600,61400,48,6
27,1,68,444200,63300,44,6
28,1,69,421500,85000,42,8.5
29,1,70,473900,20500,47,2
30,1,71,414500,91200,41,9
31,1,72,435600,-12000,43.5,"-1.5"
32,1,74,440200,0,44,0
33,1,76,440100,64000,44,6
34,1,77,445100,30300,44.5,3
35,1,81,474900,22600,47,2
36,1,84,485100,74200,48.5,7
37,1,86,492700,4400,49,0
38,1,87,484100,14300,48,1
39,1,91,444200,35700,44,3.5
40,1,93,425200,20600,42.5,2
41,1,95,445600,51900,44.5,5
42,1,97,465000,54700,46.5,5
43,1,99,452600,33100,45,3
44,1,1,482000,41800,48,4
45,1,7,431200,-200,43,"-0.5"
46,1,8,475200,61200,47.5,6
47,1,13,471500,20700,47,2
48,1,15,492100,13000,49,1
49,1,16,481000,-13200,48,"-1.5"
50,1,20,490000,72700,49,7
51,1,24,474100,72800,47,7
52,1,28,480100,60200,48,6
53,1,30,482700,24300,48,2
54,1,32,432600,24200,43,2
55,1,33,483400,-400,48,"-0.5"
56,1,34,430600,-600,43,"-0.5"
57,1,35,455600,42800,45.5,4
58,1,36,470500,40500,47,4
59,1,38,433800,25500,43,2.5
60,1,44,461300,62000,46,6
61,1,45,432600,22600,43,2
62,1,49,461100,25900,46,2.5
63,1,51,425500,11600,42.5,1
64,1,53,474800,45100,47,4.5
65,1,54,471100,61600,47,6
66,1,55,445500,51700,44.5,5
67,1,56,475000,-33200,47.5,"-3.5"
68,1,58,474700,50400,47,5
69,1,61,491000,50000,49,5
70,1,62,491900,25200,49,2.5
71,1,64,430100,2600,43,0
72,1,65,494200,11900,49,1
73,1,66,432400,21000,43,2
74,1,73,440600,600,44,0
75,1,80,473200,-14800,47,"-1.5"
76,1,83,452400,34100,45,3
77,1,85,485500,72600,48.5,7
78,1,88,481300,64100,48,6
79,1,89,475600,34300,47.5,3
80,1,90,442900,62700,44,6
81,1,94,465800,62700,46.5,6
82,1,96,452500,60700,45,6
83,1,98,483600,70800,48,7
84,1,100,475600,70700,47.5,7
85,1,2,464900,23400,46,2
86,1,4,472700,-100,47,"-0.5"
87,1,17,473400,11500,47,1
88,1,18,490200,45700,49,4.5
89,1,23,483100,4000,48,0
90,1,25,474700,2200,47,0
91,1,27,463700,2900,46,0
92,1,29,485900,74300,48.5,7
93,1,46,454800,14800,45,1
94,1,47,481400,70600,48,7
95,1,52,491000,-5100,49,"-1"
96,1,75,474400,2000,47,0
97,1,78,481200,-13300,48,"-1.5"
98,1,79,473900,20500,47,2
99,1,82,483600,-3000,48,"-0.5"
100,1,92,425100,12000,42.5,1
101,1,37,495600,44800,49.5,4
102,1,41,454500,25700,45,2.5
103,1,57,440600,33200,44,3
104,1,63,430900,-3900,43,"-0.5"
105,1,74,440200,0,44,0
106,1,84,485100,74200,48.5,7
107,1,93,425200,20600,42.5,2
108,1,98,483600,70800,48,7
109,1,30,482700,24300,48,2
110,1,46,454800,14800,45,1
111,1,1,482000,41800,48,4
112,1,2,464900,23400,46,2
113,1,5,490100,54600,49,5
114,1,6,501000,34500,50,3
115,1,8,475200,61200,47.5,6
116,1,9,465800,51400,46.5,5
117,1,13,471500,20700,47,2
118,1,24,474100,72800,47,7
119,1,27,463700,2900,46,0
120,1,50,440700,54800,44,5
121,1,51,425500,11600,42.5,1
122,1,54,471100,61600,47,6
123,1,55,445500,51700,44.5,5
124,1,62,491900,25200,49,2.5
125,1,66,432400,21000,43,2
126,1,77,445100,30300,44.5,3
127,1,7,431200,-200,43,"-0.5"
128,1,12,481700,42700,48,4
129,1,15,492100,13000,49,1
130,1,17,473400,11500,47,1
131,1,18,490200,45700,49,4.5
132,1,19,485200,62900,48.5,6
133,1,28,480100,60200,48,6
134,1,32,432600,24200,43,2
135,1,35,455600,42800,45.5,4
136,1,38,433800,25500,43,2.5
137,1,39,463400,55200,46,5.5
138,1,40,463100,60300,46,6
139,1,43,453500,64700,45,6
140,1,44,461300,62000,46,6
141,1,45,432600,22600,43,2
142,1,48,491200,30700,49,3
143,1,49,461100,25900,46,2.5
144,1,52,491000,-5100,49,"-1"
145,1,53,474800,45100,47,4.5
146,1,56,475000,-33200,47.5,"-3.5"
147,1,59,483000,64200,48,6
148,1,64,430100,2600,43,0
149,1,67,480600,61400,48,6
150,1,69,421500,85000,42,8.5
151,1,71,414500,91200,41,9
152,1,72,435600,-12000,43.5,"-1.5"
153,1,79,473900,20500,47,2
154,1,80,473200,-14800,47,"-1.5"
155,1,85,485500,72600,48.5,7
156,1,87,484100,14300,48,1
157,1,89,475600,34300,47.5,3
158,1,91,444200,35700,44,3.5
159,1,95,445600,51900,44.5,5
160,1,100,475600,70700,47.5,7
161,1,4,472700,-100,47,"-0.5"
162,1,10,461000,51400,46,5
163,1,11,464000,24300,46,2
164,1,14,470400,50400,47,5
165,1,16,481000,-13200,48,"-1.5"
166,1,20,490000,72700,49,7
167,1,22,492300,21800,49,2
168,1,25,474700,2200,47,0
169,1,26,440200,14400,44,1
170,1,29,485900,74300,48.5,7
171,1,31,460900,14900,46,1
172,1,33,483400,-400,48,"-0.5"
173,1,34,430600,-600,43,"-0.5"
174,1,36,470500,40500,47,4
175,1,42,470000,40700,47,4
176,1,47,481400,70600,48,7
177,1,61,491000,50000,49,5
178,1,65,494200,11900,49,1
179,1,68,444200,63300,44,6
180,1,70,473900,20500,47,2
181,1,75,474400,2000,47,0
182,1,76,440100,64000,44,6
183,1,78,481200,-13300,48,"-1.5"
184,1,81,474900,22600,47,2
185,1,82,483600,-3000,48,"-0.5"
186,1,83,452400,34100,45,3
187,1,88,481300,64100,48,6
188,1,90,442900,62700,44,6
189,1,92,425100,12000,42.5,1
190,1,94,465800,62700,46.5,6
191,1,96,452500,60700,45,6
192,1,97,465000,54700,46.5,5
193,1,99,452600,33100,45,3
194,1,3,434400,-5000,43,"-0.5"
195,1,21,465800,33900,46.5,3
196,1,23,483100,4000,48,0
197,1,58,474700,50400,47,5
198,1,60,483800,60400,48,6
199,1,73,440600,600,44,0
200,1,86,492700,4400,49,0
201,2,11,510400,30200,51,3
202,2,12,504700,45000,50,4.5
203,2,13,504200,41800,50,4
204,2,14,512400,50300,51,5
205,2,15,511800,43100,51,4
206,2,16,505800,34800,50.5,3
207,2,17,505900,45900,50.5,4.5
208,2,18,505700,25700,50.5,2.5
