"ID","code_country","code_plot","latitude","longitude","lat","lon"
209,2,19,511000,52000,51,5
210,2,20,505600,53600,50.5,5
211,2,21,504400,42400,50,4
212,2,22,505800,34800,50.5,3
213,2,1,495700,44900,49.5,4
214,2,3,494600,52700,49,5
215,2,6,500300,51300,50,5
216,2,8,500600,41600,50,4
217,2,2,501300,53700,50,5
218,2,4,501400,55900,50,5.5
219,2,5,503500,60600,50,6
220,2,7,493100,53400,49,5
221,2,1,495700,44900,49.5,4
222,2,7,493100,53400,49,5
223,2,8,500600,41600,50,4
224,2,9,504000,43600,50,4
225,2,2,501300,53700,50,5
226,2,3,494600,52700,49,5
227,2,5,503500,60600,50,6
228,2,6,500300,51300,50,5
229,3,39,525800,64400,52.5,6
230,3,58,525200,62000,52.5,6
231,3,61,525200,62100,52.5,6
232,3,82,525400,64300,52.5,6
233,3,106,523200,63300,52,6
234,3,129,521000,54500,52,5
235,3,174,511900,53100,51,5
236,3,175,511900,53100,51,5
237,3,226,513300,44600,51,4
238,3,1012,521400,53800,52,5
239,3,1040,520600,51300,52,5
240,3,39,525800,64400,52.5,6
241,3,58,525200,62000,52.5,6
242,3,61,525200,62100,52.5,6
243,3,82,525400,64300,52.5,6
244,3,106,523200,63300,52,6
245,3,129,521000,54500,52,5
246,3,174,511900,53100,51,5
247,3,175,511900,53100,51,5
248,3,226,513300,44600,51,4
249,3,1012,521400,53800,52,5
250,3,1040,520600,51300,52,5
251,3,39,525800,64400,52.5,6
252,3,58,525200,62000,52.5,6
253,3,61,525200,62100,52.5,6
254,3,82,525400,64300,52.5,6
255,3,106,523200,63300,52,6
256,3,129,521000,54500,52,5
257,3,174,511900,53100,51,5
258,3,175,511900,53100,51,5
259,3,226,513300,44600,51,4
260,3,1012,521400,53800,52,5
261,3,1040,520600,51300,52,5
262,3,2080,520900,55300,52,5.5
263,3,2084,521600,54400,52,5
264,3,2085,525000,62600,52.5,6
265,4,1101,522800,131300,52,13
266,4,1102,522800,131300,52,13
267,4,1103,522500,133700,52,13
268,4,1201,530600,122500,53,12
269,4,1202,530800,125800,53,12.5
270,4,1203,525800,133800,52.5,13
271,4,1204,521100,123300,52,12
272,4,1205,514700,133400,51,13
273,4,1206,520900,140100,52,14
274,4,1202,530800,125700,53,12.5
275,4,1203,525800,133800,52.5,13
276,4,1204,521100,123300,52,12
277,4,1205,514700,133300,51,13
278,4,1202,530800,125700,53,12.5
279,4,1203,525800,133800,52.5,13
280,4,1204,521100,123300,52,12
281,4,1205,514700,133300,51,13
282,4,802,492700,84500,49,8
283,4,806,480100,75800,48,7.5
284,4,808,480000,95700,48,9.5
285,4,801,484800,82300,48,8
286,4,802,492700,84500,49,8
287,4,803,475900,85900,47.5,8.5
288,4,804,481700,83900,48,8
289,4,805,474700,74200,47,7
290,4,806,480100,75800,48,7.5
291,4,808,480000,95700,48,9.5
292,4,809,483600,83800,48,8
293,4,810,485200,93400,48.5,9
294,4,811,493100,91000,49,9
295,4,901,492400,111900,49,11
296,4,902,481300,124400,48,12
297,4,908,494500,122300,49,12
298,4,910,484200,124400,48,12
299,4,912,494100,113000,49,11
300,4,913,485500,114500,48.5,11
301,4,905,490700,103500,49,10
302,4,906,480700,115500,48,11.5
303,4,915,475200,104700,47.5,10
304,4,917,482400,103200,48,10
305,4,919,482400,113900,48,11
306,4,903,502100,95500,50,9.5
307,4,904,473400,125600,47,12.5
308,4,907,495100,103100,49.5,10
309,4,909,495800,114800,49.5,11
310,4,911,485800,125200,48.5,12.5
311,4,914,495800,92700,49.5,9
312,4,916,473400,102300,47,10
313,4,918,491600,122300,49,12
314,4,920,502700,112100,50,11
315,4,921,494300,95300,49,9.5
316,4,922,474300,114000,47,11
317,4,901,492400,111900,49,11
318,4,904,473400,125600,47,12.5
319,4,908,494500,122300,49,12
320,4,923,481700,110400,48,11
321,4,906,480700,115500,48,11.5
322,4,911,485800,125200,48.5,12.5
323,4,913,485500,114500,48.5,11
324,4,919,482400,113900,48,11
325,4,921,494300,95300,49,9.5
326,4,922,474300,114000,47,11
327,4,304,514500,93400,51,9
328,4,307,525400,75100,52.5,7.5
329,4,101,540600,101400,54,10
330,4,301,525000,101500,52.5,10
331,4,302,515100,102400,51.5,10
332,4,303,515100,102500,51.5,10
333,4,305,514500,93400,51,9
334,4,306,513100,100200,51,10
335,4,601,503800,94000,50,9
336,4,602,502500,94000,50,9
337,4,603,504200,85300,50,8.5
338,4,604,500900,92300,50,9
339,4,605,503400,81200,50,8
340,4,607,505500,92000,50.5,9
341,4,606,512200,91600,51,9
342,4,307,525400,75100,52.5,7.5
343,4,301,525000,101500,52.5,10
344,4,606,512200,91600,51,9
345,4,611,494200,83100,49,8
346,4,613,494200,83200,49,8
347,4,101,540600,101400,54,10
348,4,303,518500,104100,51.5,10
349,4,307,529000,78500,52.5,7.5
350,4,604,501500,93900,50,9
351,4,609,506800,86400,50.5,8.5
352,4,1501,525800,111700,52.5,11
353,4,1502,520500,123100,52,12
354,4,301,525000,101500,52.5,10
355,4,303,515100,102500,51.5,10
356,4,304,514500,93400,51,9
357,4,307,525400,75100,52.5,7.5
358,4,1501,523400,111000,52,11
359,4,1502,520300,121800,52,12
360,4,1503,523400,111100,52,11
361,4,1302,534000,120300,53,12
362,4,1303,533800,135600,53,13.5
363,4,1303,533800,135600,53,13.5
364,4,501,514500,60300,51,6
365,4,502,514300,61000,51,6
366,4,506,510100,81100,51,8
367,4,507,504000,61500,50,6
368,4,503,514100,71500,51,7
369,4,504,515000,85700,51.5,8.5
370,4,505,511300,84000,51,8
371,4,502,514300,61000,51,6
372,4,503,514100,71500,51,7
373,4,508,514200,85900,51,8.5
374,4,701,494100,70100,49,7
375,4,703,493800,75500,49,7.5
376,4,704,502400,74300,50,7
377,4,706,490100,80700,49,8
378,4,702,502500,70500,50,7
379,4,705,491600,74800,49,7
380,4,707,491800,75200,49,7.5
381,4,701,494100,70100,49,7
382,4,703,493800,75500,49,7.5
383,4,704,502400,74300,50,7
384,4,706,490100,80700,49,8
385,4,704,502400,74300,50,7
386,4,705,491600,74800,49,7
387,4,706,490100,80700,49,8
388,4,1001,491900,70100,49,7
389,4,1001,491900,70100,49,7
390,4,1401,502500,123200,50,12
391,4,1402,503800,131800,50,13
392,4,1403,505100,140900,50.5,14
393,4,1404,510700,143400,51,14
394,4,1405,511400,134900,51,13
395,4,1406,511100,124900,51,12
396,4,1401,502500,123200,50,12
397,4,1402,503800,131800,50,13
398,4,1403,504900,140500,50,14
399,4,1404,510700,143300,51,14
400,4,1405,511400,134900,51,13
401,4,1406,511100,124900,51,12
402,4,1601,503400,104000,50,10
403,4,1602,503600,104600,50,10
404,4,1603,504100,103900,50,10
405,4,1604,504100,104300,50,10
406,4,1605,503600,104700,50,10
407,4,1605,503600,104700,50,10
408,4,1606,512000,105200,51,10.5
409,4,1607,504700,113900,50,11
410,4,1605,503600,104700,50,10
411,4,1606,512000,105200,51,10.5
412,4,1607,504700,113900,50,11
413,4,1608,505600,110100,50.5,11
414,4,1609,502900,113000,50,11
415,4,201,532700,95200,53,9.5
416,4,202,532700,95400,53,9.5
417,4,203,534200,100800,53,10
418,5,1,415000,133500,41.5,13
419,5,2,403600,155200,40,15.5
420,5,3,382500,161000,38,16
421,5,4,402500,152600,40,15
422,5,5,444300,101200,44,10
423,5,6,440600,110700,44,11
424,5,7,454700,130700,45,13
425,5,8,462900,133500,46,13
426,5,9,424900,130000,42,13
427,5,10,461400,93300,46,9
428,5,11,431700,130400,43,13
429,5,12,454000,80400,45,8
430,5,13,414900,155900,41,15.5
431,5,14,392000,83400,39,8
432,5,15,375400,132400,37.5,13
433,5,16,433000,102600,43,10
434,5,17,462100,112900,46,11
435,5,18,432700,122700,43,12
436,5,19,454300,65500,45,6.5
437,5,20,460300,120100,46,12
438,6,516,513500,-15500,51,"-2"
439,6,517,541800,-30100,54,"-3.5"
440,6,715,522400,5200,52,0.5
441,6,716,532400,-14500,53,"-1.5"
442,6,920,564300,-40300,56,"-4.5"
443,6,922,520600,-34400,52,"-3.5"
444,6,512,510900,-5100,51,"-1"
445,6,717,563900,-41700,56,"-4.5"
446,6,919,550500,-22800,55,"-2.5"
447,6,921,561400,-51600,56,"-5.5"
448,6,110,510700,-11400,51,"-1.5"
449,6,111,510100,-5200,51,"-1"
450,6,512,511100,-5100,51,"-1"
451,6,518,510800,-11400,51,"-1.5"
452,6,715,524300,5200,52,0.5
453,6,716,534100,-14500,53,"-1.5"
454,6,717,556500,-41700,55.5,"-4.5"
455,6,718,510100,-5200,51,"-1"
456,6,919,550900,-22800,55,"-2.5"
457,6,922,521200,-34400,52,"-3.5"
458,7,1,530600,-61400,53,"-6.5"
459,7,2,525800,-61100,52.5,"-6.5"
460,7,3,523200,-70200,52,"-7.5"
461,7,4,520900,-75200,52,"-8"
462,7,5,520300,-84700,52,"-8.5"
463,7,6,521800,-83700,52,"-8.5"
464,7,7,523500,-74000,52,"-7.5"
465,7,8,530200,-72900,53,"-7.5"
466,7,9,532900,-65100,53,"-7"
467,7,10,532100,-92000,53,"-9.5"
468,7,11,534500,-93300,53,"-9.5"
469,7,12,541100,-83700,54,"-8.5"
470,7,13,541500,-81700,54,"-8.5"
471,7,14,535800,-73900,53.5,"-7.5"
472,7,15,540800,-74000,54,"-7.5"
473,8,11,561700,82500,56,8
474,8,12,561700,82500,56,8
475,8,13,561700,82500,56,8
476,8,14,561700,82500,56,8
477,8,15,561700,82500,56,8
478,8,21,550800,85300,55,8.5
479,8,22,550800,85300,55,8.5
480,8,23,550800,85300,55,8.5
481,8,24,550800,85300,55,8.5
482,8,25,550800,85300,55,8.5
483,8,31,555700,122100,55.5,12
484,8,32,555700,122100,55.5,12
485,8,33,555700,122100,55.5,12
486,8,34,555700,122100,55.5,12
487,8,35,555700,122100,55.5,12
488,8,41,562800,82400,56,8
489,8,64,550000,95500,55,9.5
490,8,85,554200,122100,55,12
491,8,95,562300,92000,56,9
492,9,1,385000,211800,38.5,21
493,9,2,394700,224700,39,22
494,9,3,394700,224600,39,22
495,9,4,385200,215200,38.5,21.5
496,10,1,400400,-81500,40,"-8.5"
497,10,2,385700,-80400,38.5,"-8.5"
498,10,3,380500,-70200,38,"-7.5"
499,10,4,381900,-83200,38,"-8.5"
500,11,1,430600,-43800,43,"-4.5"
501,11,2,424300,-84100,42,"-8.5"
502,11,3,421500,-24200,42,"-2.5"
503,11,4,414900,-23700,41,"-2.5"
504,11,5,405100,-35900,40.5,"-4"
505,11,6,403200,100,40,0
506,11,7,395600,-54700,39.5,"-5.5"
507,11,8,380500,-24800,38,"-2.5"
508,11,9,373200,-71100,37,"-7.5"
509,11,10,370900,-64300,37,"-6.5"
510,11,11,401100,-62600,40,"-6.5"
511,11,21,402800,-14000,40,"-1.5"
512,11,22,401900,-4300,40,"-0.5"
513,11,26,381000,-40400,38,"-4.5"
514,11,36,412000,-43200,41,"-4.5"
515,11,37,412100,-41700,41,"-4.5"
516,11,39,401300,-50100,40,"-5.5"
517,11,42,400100,-15800,40,"-2"
518,11,43,395000,-11800,39.5,"-1.5"
519,11,45,430800,-25900,43,"-3"
520,11,12,382800,-64500,38,"-6.5"
521,11,14,402600,-40700,40,"-4.5"
522,11,15,430000,-12000,43,"-1.5"
523,11,16,374900,-54100,37,"-5.5"
524,11,17,362200,-53400,36,"-5.5"
525,11,18,414600,22400,41,2
526,11,19,405400,2300,40.5,0
527,11,20,430100,-85700,43,"-9"
528,11,25,383100,-3700,38,"-0.5"
529,11,27,375400,-25300,37.5,"-3"
530,11,28,370000,-30000,37,"-3"
531,11,29,413600,-30200,41,"-3.5"
532,11,30,415200,-25200,41.5,"-3"
533,11,31,415900,-22000,41.5,"-2.5"
534,11,34,424700,-52200,42,"-5.5"
535,11,44,392300,-40700,39,"-4.5"
536,11,46,382900,-22800,38,"-2.5"
537,11,47,421800,-15300,42,"-2"
538,11,49,393600,-44100,39,"-4.5"
539,11,50,415400,-80700,41.5,"-8.5"
540,11,51,280800,-171700,28,"-17.5"
541,11,52,280700,-171300,28,"-17.5"
542,11,53,281100,-164000,28,"-16.5"
543,11,13,430900,-52800,43,"-5.5"
544,11,23,423100,-10400,42,"-1.5"
545,11,24,423800,-1700,42,"-0.5"
546,11,32,430000,-34100,43,"-3.5"
547,11,33,425200,-43300,42.5,"-4.5"
548,11,35,414700,-62200,41,"-6.5"
549,11,38,402000,-55600,40,"-6"
550,11,40,394900,25400,39,2.5
551,11,41,395100,31000,39.5,3
552,11,48,423600,10400,42,1
553,12,1,495900,60200,49.5,6
554,12,2,493900,61100,49,6
555,13,6106,562200,134900,56,13
556,13,6506,571300,130600,57,13
557,13,1114,561000,130900,56,13
558,13,2270,630200,172500,63,17
559,13,5203,593900,175300,59,17.5
560,13,5303,601100,174300,60,17
561,13,5503,580000,155100,58,15.5
562,13,5506,581300,155500,58,15.5
563,13,5605,572700,134200,57,13
564,13,5705,562800,150700,56,15
565,13,5803,574200,155500,57,15.5
566,13,5906,573700,182600,57,18
567,13,6009,561800,145100,56,14.5
568,13,6011,561800,154200,56,15
569,13,6108,561000,141400,56,14
570,13,6110,561500,133200,56,13
571,13,6111,562000,130100,56,13
572,13,6204,555900,132300,55.5,13
573,13,6402,582200,120500,58,12
574,13,6504,572200,135100,57,13.5
575,13,6508,582500,122300,58,12
576,13,6602,580800,140400,58,14
577,13,6603,585100,134100,58.5,13
578,13,6704,595700,123800,59.5,12
579,13,6706,594000,115700,59,11.5
580,13,6707,593500,122900,59,12
581,13,6902,594800,152900,59,15
582,13,7003,600100,152400,60,15
583,13,7004,611200,151200,61,15
584,13,7005,601600,143000,60,14
585,13,7103,621100,164300,62,16
586,13,7202,631000,175500,63,17.5
587,13,7303,632000,144500,63,14
588,13,7401,634500,192400,63,19
589,13,7403,643000,172400,64,17
590,13,7504,652700,192400,65,19
591,13,6308,571200,122700,57,12
592,13,6309,570200,124800,57,12
593,13,5751,570600,143300,57,14
594,13,5752,570800,144600,57,14
595,13,5753,571000,144800,57,14
596,13,6451,580300,120100,58,12
597,13,6452,580300,120100,58,12
598,13,6453,580400,120100,58,12
599,13,6851,594500,145400,59,14.5
600,13,6852,595400,151400,59.5,15
601,13,6853,593400,145000,59,14.5
602,13,7251,635100,180600,63.5,18
603,13,7452,640200,185500,64,18.5
604,13,7453,641500,194800,64,19
605,13,1301,573000,121400,57,12
606,13,1403,582600,114400,58,11
607,13,5401,585700,165900,58.5,16.5
608,13,5601,575200,144500,57.5,14
609,13,5602,575000,145900,57.5,14.5
610,13,5603,573000,152000,57,15
611,13,5701,565300,150600,56.5,15
612,13,5702,570300,142200,57,14
613,13,5703,565000,134400,56.5,13
614,13,5801,580300,160600,58,16
615,13,5802,563800,153700,56,15
616,13,6001,561700,143900,56,14
617,13,6002,562400,151800,56,15
618,13,6003,561300,152600,56,15
619,13,6005,562300,143200,56,14
620,13,6101,560100,135500,56,13.5
621,13,6102,560600,133100,56,13
622,13,6103,560800,133000,56,13
623,13,6201,555500,133500,55.5,13
624,13,6203,553700,132600,55,13
625,13,6301,570400,123300,57,12
626,13,6302,565600,124300,56.5,12
627,13,6303,564600,130800,56,13
628,13,6401,583200,114300,58,11
629,13,6501,572400,130600,57,13
630,13,6503,574600,134400,57,13
631,13,6507,584300,115800,58,11.5
632,13,6701,593900,134800,59,13
633,13,6702,594900,125400,59,12.5
634,13,6703,603500,130700,60,13
635,13,6801,593500,145200,59,14.5
636,13,6802,593500,144200,59,14
637,13,6803,595200,142500,59.5,14
638,13,6901,592000,155600,59,15.5
639,13,7001,610700,142100,61,14
640,13,7002,602400,151600,60,15
641,13,7201,621600,162000,62,16
642,13,7402,642900,182800,64,18
643,13,1006,562000,145800,56,14.5
644,13,5201,593400,180300,59,18
645,13,5202,590500,173800,59,17
646,13,5301,600100,171100,60,17
647,13,5402,584600,164800,58,16
648,13,5403,590200,161500,59,16
649,13,5404,591800,160700,59,16
650,13,5501,580900,152500,58,15
651,13,5502,584500,150800,58,15
652,13,5604,570800,133500,57,13
653,13,5704,564400,132200,56,13
654,13,5804,565100,161900,56.5,16
655,13,6109,553600,140600,55,14
656,13,6305,570000,132200,57,13
657,13,6307,564100,130900,56,13
658,13,6601,583700,134600,58,13
659,13,6804,590500,153000,59,15
660,13,7101,614400,163100,61,16
661,13,7301,620000,142500,62,14
662,13,7302,630400,164400,63,16
663,13,7501,655700,231500,65.5,23
664,13,7502,660400,203700,66,20
665,13,7106,603900,161700,60,16
666,13,7404,652400,180600,65,18
667,14,1,474600,161900,47,16
668,14,2,472900,163300,47,16
669,14,3,464400,143000,46,14
670,14,4,464600,131000,46,13
671,14,5,464300,134000,46,13
672,14,6,482100,151200,48,15
673,14,7,473800,160800,47,16
674,14,8,485500,151100,48.5,15
675,14,9,480700,160200,48,16
676,14,10,480600,125200,48,12.5
677,14,11,475200,132100,47.5,13
678,14,12,472900,132500,47,13
679,14,13,463700,153000,46,15
680,14,14,472200,151000,47,15
681,14,15,473800,153900,47,15
682,14,16,470300,140600,47,14
683,14,17,471900,122400,47,12
684,14,18,472300,105400,47,10.5
685,14,19,472200,115300,47,11.5
686,14,20,472900,95900,47,9.5
687,15,1,693400,285300,69,28.5
688,15,2,675700,240300,67.5,24
689,15,3,675900,241400,67.5,24
690,15,4,672000,263800,67,26
691,15,5,661900,263800,66,26
692,15,6,662100,264400,66,26
693,15,7,661700,292700,66,29
694,15,8,661900,292000,66,29
695,15,9,645800,262300,64.5,26
696,15,10,615200,241200,61.5,24
697,15,11,615100,241800,61.5,24
698,15,12,603800,234800,60,23
699,15,13,603600,235000,60,23.5
700,15,14,603800,260500,60,26
701,15,15,603900,260700,60,26
702,15,16,614600,292000,61,29
703,15,17,614800,291900,61,29
704,15,18,604200,275000,60,27.5
705,15,19,611400,250400,61,25
706,15,20,630900,304200,63,30
707,15,21,661800,293000,66,29
708,15,22,694400,265700,69,26.5
709,15,23,633300,222900,63,22
710,15,24,622700,213100,62,21
711,15,26,615500,232000,61.5,23
712,15,27,615500,231900,61.5,23
713,15,29,640700,264100,64,26
714,15,30,640700,264200,64,26
715,15,25,620300,242200,62,24
716,15,28,600200,230200,60,23
717,15,31,662000,263800,66,26
718,15,34,605500,271600,60.5,27
719,15,35,605500,271400,60.5,27
720,15,1,693400,285300,69,28.5
721,15,3,675900,241400,67.5,24
722,15,5,661900,263800,66,26
723,15,6,662100,264400,66,26
724,15,10,615200,241200,61.5,24
725,15,11,615100,241800,61.5,24
726,15,12,603800,234800,60,23
727,15,13,603600,235000,60,23.5
728,15,16,614600,292000,61,29
729,15,17,614800,291900,61,29
730,15,19,611400,250400,61,25
731,15,20,630900,304200,63,30
732,15,34,605500,271600,60.5,27
733,15,35,605500,271400,60.5,27
734,50,1,470300,84200,47,8
735,50,2,464200,74500,46,7
736,50,3,471300,72500,47,7
737,50,4,462900,95300,46,9.5
738,50,5,462600,84800,46,8
739,50,6,460700,90000,46,9
740,50,7,461300,61700,46,6
741,50,8,463500,63900,46,6
742,50,9,461600,72600,46,7
743,50,10,463900,101300,46,10
744,50,11,474100,83200,47,8
745,50,12,460100,85000,46,8.5
746,50,13,472400,81300,47,8
747,50,14,461700,75100,46,7.5
748,50,15,471600,75300,47,7.5
749,50,16,470900,90400,47,9
750,51,1,475300,195700,47.5,19.5
751,51,2,475300,195700,47.5,19.5
752,51,3,475100,195800,47.5,19.5
753,51,6,473300,192300,47,19
754,51,8,465800,193300,46.5,19
755,51,9,465700,193200,46.5,19
756,51,10,472000,210500,47,21
757,51,11,472000,210500,47,21
758,51,12,473900,162900,47,16
759,51,13,474000,163000,47,16
760,51,14,473900,163100,47,16
761,51,15,464900,162400,46,16
762,51,16,464900,162400,46,16
763,51,17,463600,164700,46,16
764,51,1,475300,195700,47.5,19.5
765,51,3,475100,195800,47.5,19.5
766,51,15,464900,162400,46,16
767,51,16,464900,162400,46,16
768,51,17,463500,164400,46,16
769,51,18,465700,193300,46.5,19
770,51,19,465600,193200,46.5,19
771,51,20,475300,195700,47.5,19.5
772,51,15,464900,162400,46,16
773,51,16,464900,162400,46,16
774,51,17,463500,164400,46,16
775,51,18,465700,193300,46.5,19
776,51,20,475300,195700,47.5,19.5
777,52,2,440400,260300,44,26
778,52,3,441800,253600,44,25
779,52,4,441800,253600,44,25
780,52,5,443000,261000,44,26
781,52,6,445400,260600,44.5,26
782,52,7,450600,254200,45,25
783,52,8,452000,253300,45,25
784,52,9,453000,253500,45,25
785,52,10,472600,253300,47,25
786,52,11,452500,251600,45,25
787,52,12,464100,223700,46,22
788,52,13,450100,245900,45,24.5
