CountryCode,CountryName,Site,Lat,Lon
1,FR,site_num_16,48,-1.5
1,FR,site_num_75,47,0
1,FR,site_num_86,49,0.2
1,FR,site_num_6,50,3
1,FR,site_num_37,49.5,4
1,FR,site_num_80,47,-1.5
1,FR,site_num_17,47,1
1,FR,site_num_36,47,4
1,FR,site_num_69,42,8.5
1,FR,site_num_46,45,1
1,FR,site_num_74,44,0
1,FR,site_num_3,43,-0.5
1,FR,site_num_63,43,-0.5
1,FR,site_num_94,46.5,6
1,FR,site_num_57,44,3
1,FR,site_num_44,46,6
1,FR,site_num_93,42.5,2
1,FR,site_num_96,45,6
1,FR,site_num_90,44,6
1,FR,site_num_100,47.5,7
1,FR,site_num_84,48.5,7
1,FR,site_num_98,48,7
1,FR,site_num_12,48,4
1,FR,site_num_59,48,6
1,FR,site_num_41,45,2.7
2,BE,site_num_8,50,4
2,BE,site_num_8,50.2,4
2,BE,site_num_1,49.5,4
2,BE,site_num_11,49.8,3
2,BE,site_num_15,51,4
2,BE,site_num_16,50.5,3
2,BE,site_num_9,50.1,4
2,BE,site_num_7,49,5
3,NL,site_num_106,52,6
3,NL,site_num_175,51,5
3,NL,site_num_1040,52,5
3,NL,site_num_2084,52,5
3,NL,site_num_2085,52.5,6
4,DE,site_num_308,53,9.5
4,DE,site_num_1605,50,10
4,DE,site_num_1202,53,12.5
4,DE,site_num_1203,52.5,13
4,DE,site_num_1204,52,12
4,DE,site_num_1205,51,13
4,DE,site_num_1206,52,14
4,DE,site_num_901,49,11
4,DE,site_num_902,48,12
4,DE,site_num_904,47,12.5
4,DE,site_num_905,49,10
4,DE,site_num_906,48,11.5
4,DE,site_num_907,49.5,10
4,DE,site_num_908,49,12
4,DE,site_num_909,49.5,11.2
4,DE,site_num_910,48,12.2
4,DE,site_num_911,48.5,12.5
4,DE,site_num_912,49,11.2
4,DE,site_num_913,48.5,11.2
4,DE,site_num_914,49.5,9
4,DE,site_num_915,47.5,10
4,DE,site_num_916,47,10
4,DE,site_num_917,48.2,10
4,DE,site_num_919,48.2,11
4,DE,site_num_920,50,11
4,DE,site_num_921,49,9.5
4,DE,site_num_101,54,10
4,DE,site_num_302,51.5,10
4,DE,site_num_303,51.5,10.2
4,DE,site_num_307,52.5,7.5
4,DE,site_num_603,50,8.5
4,DE,site_num_605,50,8
4,DE,site_num_607,50.5,9
4,DE,site_num_501,51,6
4,DE,site_num_502,51,6
4,DE,site_num_503,51,7
4,DE,site_num_504,51.5,8.5
4,DE,site_num_505,51,8
4,DE,site_num_506,51,8
4,DE,site_num_507,50,6
4,DE,site_num_701,49,7
4,DE,site_num_702,50,7
4,DE,site_num_703,49.2,7.5
4,DE,site_num_704,50.2,7
4,DE,site_num_705,49.2,7
4,DE,site_num_706,49,8.2
4,DE,site_num_707,49.2,7.5
4,DE,site_num_1606,51,10.5
4,DE,site_num_903,50,9.5
4,DE,site_num_918,49,12.2
4,DE,site_num_801,48,8
4,DE,site_num_802,49.2,8
4,DE,site_num_806,48,7.5
4,DE,site_num_808,48.2,9.5
4,DE,site_num_809,48,8
4,DE,site_num_1303,53,13.5
4,DE,site_num_1401,50,12
4,DE,site_num_1402,50,13
4,DE,site_num_1403,50.5,14
4,DE,site_num_1404,51,14
4,DE,site_num_1405,51,13
4,DE,site_num_1406,51,12
4,DE,site_num_1603,50,10
4,DE,site_num_922,47,11
4,DE,site_num_1302,53,12
4,DE,site_num_1501,52.5,11
4,DE,site_num_1502,52,12
4,DE,site_num_1101,52,13
4,DE,site_num_1607,50,11
4,DE,site_num_601,50,9
4,DE,site_num_508,51,8.5
4,DE,site_num_1103,52,13
4,DE,site_num_803,47.5,8.5
4,DE,site_num_804,48,8
4,DE,site_num_805,47,7
4,DE,site_num_810,48.5,9
4,DE,site_num_811,49,9
4,DE,site_num_812,48,9
4,DE,site_num_819,48,8
4,DE,site_num_852,49,8
4,DE,site_num_856,48,7.5
4,DE,site_num_858,48,9.5
4,DE,site_num_859,48,8
4,DE,site_num_862,48,9
4,DE,site_num_301,52.5,10
4,DE,site_num_304,51,9
4,DE,site_num_305,51,9
4,DE,site_num_306,51,10
4,DE,site_num_604,50,9
4,DE,site_num_606,51,9
4,DE,site_num_608,51,9
4,DE,site_num_609,50.5,8.5
4,DE,site_num_1001,49,7
4,DE,site_num_923,48,11
4,DE,site_num_610,49,8.5
4,DE,site_num_611,49,8
4,DE,site_num_612,51,9
4,DE,site_num_613,49,8
4,DE,site_num_1503,52,11
4,DE,site_num_1208,49,9
4,DE,site_num_1207,51,8
4,DE,site_num_1209,48,8
5,IT,site_num_10,46,9
5,IT,site_num_16,43,10
5,IT,site_num_17,46,11
5,IT,site_num_19,45,6.5
5,IT,site_num_9,42,13
5,IT,site_num_5,44,10
5,IT,site_num_1,41.5,13
5,IT,site_num_8,46,13
5,IT,site_num_6,44,11
5,IT,site_num_3,38,16
5,IT,site_num_20,46,12
5,IT,site_num_12,45,8
5,IT,site_num_25,42.5,10
5,IT,site_num_27,45.5,9.5
5,IT,site_num_24,45.5,9
5,IT,site_num_23,45.5,10
5,IT,site_num_4,40,15
5,IT,site_num_14,39,8
5,IT,site_num_29,45,8
5,IT,site_num_30,46,8
5,IT,site_num_31,45,10
5,IT,site_num_22,41,13
5,IT,site_num_15,37.5,13
5,IT,site_num_13,41,15.5
5,IT,site_num_21,41.5,14
5,IT,site_num_11,43,13
4,DE,site_num_1607,50,11
4,DE,site_num_601,50,9.2
4,DE,site_num_508,51,8.7
4,DE,site_num_1103,52,13
4,DE,site_num_803,47.5,8.5
4,DE,site_num_804,48,8
4,DE,site_num_805,47,7
4,DE,site_num_810,48.5,9
4,DE,site_num_811,49,9
4,DE,site_num_812,48,9
4,DE,site_num_819,48,8
4,DE,site_num_852,49,8
4,DE,site_num_856,48,7.7
4,DE,site_num_858,48,9.5
4,DE,site_num_859,48,8
4,DE,site_num_862,48,9
4,DE,site_num_301,52.5,10
4,DE,site_num_304,51,9
4,DE,site_num_305,51,9.2
4,DE,site_num_306,51,10
4,DE,site_num_604,50,9.2
4,DE,site_num_606,51,9.2
4,DE,site_num_608,51,9.2
4,DE,site_num_609,50.5,8.5
4,DE,site_num_1001,49,7
4,DE,site_num_923,48,11
4,DE,site_num_610,49,8.7
4,DE,site_num_611,49,8
4,DE,site_num_612,51,9.2
4,DE,site_num_613,49,8
4,DE,site_num_1503,52,11
4,DE,site_num_1208,49,9
4,DE,site_num_1207,51,8.2
4,DE,site_num_1209,48.2,8
5,IT,site_num_10,46,9
5,IT,site_num_10,46,9
5,IT,site_num_16,43,10
5,IT,site_num_17,46,11
5,IT,site_num_19,45,6.5
5,IT,site_num_9,42,13
5,IT,site_num_5,44,10
5,IT,site_num_1,41.5,13
5,IT,site_num_8,46,13
5,IT,site_num_6,44,11
5,IT,site_num_3,38,16
5,IT,site_num_20,46,12
5,IT,site_num_12,45,8
5,IT,site_num_25,42.5,10
5,IT,site_num_27,45.5,9.5
5,IT,site_num_24,45.5,9
5,IT,site_num_23,45.5,10
5,IT,site_num_4,40,15
5,IT,site_num_14,39.2,8
5,IT,site_num_29,45,8
5,IT,site_num_30,46,8
5,IT,site_num_31,45,10
5,IT,site_num_22,41,13
5,IT,site_num_15,37.5,13
5,IT,site_num_13,41,15.5
5,IT,site_num_21,41.5,14
5,IT,site_num_11,43,13
6,UK,site_num_512,51,-1
6,UK,site_num_512,51,-1.2
6,UK,site_num_517,54,-3.5
6,UK,site_num_106,52,-1
6,UK,site_num_715,52,0.5
6,UK,site_num_716,53,-1.5
6,UK,site_num_919,55,-2.5
6,UK,site_num_922,52,-3.5
6,UK,site_num_717,56,-4.5
6,UK,site_num_718,51,-1.2
6,UK,site_num_518,51,-1.5
7,IE,site_num_1,53,-6.5
7,IE,site_num_1,53,-6.7
7,IE,site_num_10,53,-9.5
7,IE,site_num_11,53,-9.7
7,IE,site_num_109,52,-8.5
7,IE,site_num_3,52,-7.5
7,IE,site_num_6,52,-8.5
7,IE,site_num_9,53,-7
7,IE,site_num_12,54,-8.5
7,IE,site_num_15,54,-7.5
7,IE,site_num_16,53,-6.7
8,DK,site_num_11,56,8
8,DK,site_num_11,56,8
8,DK,site_num_31,55.5,12
8,DK,site_num_21,55,8.5
8,DK,site_num_64,55,9.5
8,DK,site_num_34,55.5,12
8,DK,site_num_74,,
8,DK,site_num_85,55,12
8,DK,site_num_95,56,9
8,DK,site_num_101,,
9,GR,site_num_1,38.5,21
9,GR,site_num_1,38.5,21
9,GR,site_num_2,39,22
9,GR,site_num_3,39,22
9,GR,site_num_4,38.5,21.5
11,ES,site_num_15,43,-1.5
11,ES,site_num_15,43,-1.7
11,ES,site_num_22,40,-0.5
11,ES,site_num_26,38,-4.5
11,ES,site_num_11,40,-6.5
11,ES,site_num_33,42.5,-4.5
11,ES,site_num_2,42,-8.5
11,ES,site_num_102,42,-8
11,ES,site_num_37,41,-4.5
11,ES,site_num_25,38,-0.5
11,ES,site_num_6,40,0
11,ES,site_num_5,40.5,-4
11,ES,site_num_10,37,-6.5
11,ES,site_num_30,41,-3
11,ES,site_num_54,40,-4
11,ES,site_num_115,39,-6
11,ES,site_num_7,39.5,-5.5
12,LU,site_num_2,49,6
12,LU,site_num_2,49,6
12,LU,site_num_1,49.5,6
13,SE,site_num_1403,58,11
13,SE,site_num_1403,58,11
13,SE,site_num_5301,60,17
13,SE,site_num_5401,58.5,16.5
13,SE,site_num_5603,57,15
13,SE,site_num_6103,56,13
13,SE,site_num_6303,56,13
13,SE,site_num_6702,59,12.5
13,SE,site_num_7201,62,16
13,SE,site_num_7404,65,18
13,SE,site_num_7502,66,20
13,SE,site_num_5751,57,14
13,SE,site_num_5752,57,14
13,SE,site_num_5753,57,14
13,SE,site_num_6451,58,12
13,SE,site_num_6452,58,12
13,SE,site_num_6453,58,12
13,SE,site_num_6851,59,14.5
13,SE,site_num_6852,59.5,15
13,SE,site_num_6853,59,14.5
13,SE,site_num_7251,63.5,18
13,SE,site_num_7453,64,19
13,SE,site_num_7452,64,18.7
14,AT,site_num_16,47,14
14,AT,site_num_16,47,14
14,AT,site_num_9,48,16
14,AT,site_num_2,47,16
14,AT,site_num_11,47.5,13
14,AT,site_num_15,47,15
14,AT,site_num_17,47,12
15,FI,site_num_3,67.5,24
15,FI,site_num_3,67.5,24
15,FI,site_num_11,61.5,24
15,FI,site_num_12,60,23
15,FI,site_num_23,63,22
15,FI,site_num_24,62,21
15,FI,site_num_17,61,29
15,FI,site_num_5,66,26
15,FI,site_num_18,60,27.5
15,FI,site_num_25,62,24
15,FI,site_num_9,64.5,26
15,FI,site_num_28,60,23
15,FI,site_num_10,61.5,24
15,FI,site_num_1,69,28.5
15,FI,site_num_32,66,26
15,FI,site_num_6,66,26
15,FI,site_num_13,60,23.5
15,FI,site_num_16,61,29
15,FI,site_num_19,61,25
15,FI,site_num_20,63,30
50,CH,site_num_1,47,8
50,CH,site_num_1,47,8
50,CH,site_num_2,46,7
50,CH,site_num_3,47,7
50,CH,site_num_4,46,9.5
50,CH,site_num_6,46,9
50,CH,site_num_7,46,6
50,CH,site_num_8,46,6
50,CH,site_num_9,46,7
50,CH,site_num_10,46,10
50,CH,site_num_11,47,8
50,CH,site_num_12,46,8.5
50,CH,site_num_13,47,8
50,CH,site_num_14,46,7.5
50,CH,site_num_15,47,7.5
50,CH,site_num_16,47,9
50,CH,site_num_5,46,8
50,CH,site_num_18,46.94,8.41
50,CH,site_num_19,47,8
51,HU,site_num_1,47.5,19.5
51,HU,site_num_1,47.5,19.5
51,HU,site_num_2,47.5,19.5
51,HU,site_num_8,46.5,19
51,HU,site_num_9,46.5,19
51,HU,site_num_6,47,19
51,HU,site_num_10,47,21
51,HU,site_num_12,47,16
51,HU,site_num_15,46,16
51,HU,site_num_3,47.5,19.5
51,HU,site_num_13,47,16
51,HU,site_num_17,46,16
51,HU,site_num_16,46,16
51,HU,site_num_19,46.5,19
51,HU,site_num_20,47.5,19.5
52,RO,site_num_5,44,26
52,RO,site_num_5,44,26
52,RO,site_num_9,45,25
52,RO,site_num_11,45,25
52,RO,site_num_13,45,24.5
53,PL,site_num_116,54,18
53,PL,site_num_116,54,18
53,PL,site_num_203,54,22.5
53,PL,site_num_206,53,21
53,PL,site_num_212,52,23
53,PL,site_num_312,52,16
53,PL,site_num_322,51,17
53,PL,site_num_326,52,19
53,PL,site_num_405,52,21
53,PL,site_num_513,50,18
53,PL,site_num_701,50.5,15
53,PL,site_num_801,49,18.5
53,PL,site_num_804,49,22
53,PL,site_num_816,49,18.5
54,SK,site_num_204,48,19
54,SK,site_num_204,48,19.2
54,SK,site_num_209,49,18
54,SK,site_num_211,48,19.2
54,SK,site_num_212,48.5,19
54,SK,site_num_201,48,18
54,SK,site_num_206,48,19.2
54,SK,site_num_208,49,22
54,SK,site_num_210,49,21
54,SK,site_num_213,49,22.5
55,NO,site_num_1,58,8.4
55,NO,site_num_1,58,8.2
55,NO,site_num_19,60,11
56,LT,site_num_1,55.5,23.8
56,LT,site_num_1,55.6,24
57,HR,site_num_110,45,15.2
57,HR,site_num_110,45,15.4
57,HR,site_num_109,45,18.5
58,CZ,site_num_2161,49,15.5
58,CZ,site_num_2161,49,15
58,CZ,site_num_2361,49,17
58,CZ,site_num_521,50,12
58,CZ,site_num_2015,50,15
58,CZ,site_num_2061,49,12.5
58,CZ,site_num_2102,49.5,14.1
58,CZ,site_num_2103,49,14.2
58,CZ,site_num_2163,49,14.5
58,CZ,site_num_2251,50,16
58,CZ,site_num_2401,49,18
58,CZ,site_num_561,49,15.2
58,CZ,site_num_541,50,17
58,CZ,site_num_2341,49,17
59,EE,site_num_9,58,26
59,EE,site_num_9,58,26.2
60,SI,site_num_1,46,13.5
60,SI,site_num_1,46,13.5
60,SI,site_num_2,45.5,13
60,SI,site_num_3,45,13.5
